회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
DMG (Hong Kong) Group Limited,DMG (Hong Kong) Group Limited,DMG(HongKong)GroupLimited, ,Wu Bing,기타법인, ,41186,"Units 3306-12, 33/F, Shui On Centre, Nos. 6-8 Harbour Road, Wanchai, HK", ,,일반 영화 및 비디오물 제작업,2004-04-15,12월
(주)E&C 정보기술,"E&C info., tec.",E&C정보기술, ,오병두,기타법인,110111-1630288,214-86-28479,서울특별시 성동구 성수1가동 685-20 성동한양벤처파크 303호,http://www.encinfo.co.kr,,시스템 소프트웨어 개발 및 공급업,1999-01-08,01월
(주)e-편한세상,e-easylife,e-편한세상, ,서재웅,기타법인,110111-1906853,220-81-80626,서울특별시 서초구 방배동1823번지 도림빌딩5층,45mart.com,,데이터베이스 및 온라인정보 제공업,2000-03-15,12월
이에이트 주식회사,"E8IGHT Co., Ltd",E8,418620,김진현,코스닥시장,110111-4861971,215-87-68656,"서울특별시 송파구 올림픽로 300 25층(신천동, 롯데월드타워)",e8ight.co.kr/,,소프트웨어 개발 및 공급업,2012-05-07,12월
Electronic Arts Inc.,Electronic Arts Inc.,ElectronicArtsInc., ,"John S, Riccitiello",기타법인, ,31285,"209 Redwood Shores Parkway, Redwood City, CA 94065 USA",www.ea.com,,게임 소프트웨어 개발 및 공급업,1991-05-08,12월
Electronic Arts Nederland B.V.,Electronic Arts Nederland B.V.,ElectronicArtsNederlandB.V., ,"Florin, Gerhard",기타법인, ,24276634,"De Koumen 100, 6433KE Hoensbroek, The Netherlands", ,,게임 소프트웨어 개발 및 공급업,1997-08-04,12월
FORCE NO AS,FORCE NO AS,FORCENOAS, ,Tom Buhl,기타법인, ,13113,"Niels Lauritssonsvei 39A, PO Box 77, Tasen, N-0801 Oslo, Norway", ,,컴퓨터시스템 통합 자문 및 구축 서비스업,1986-05-26,01월
Fox Video Limited,Fox Video Limited,FoxVideoLimited, ,"Zhou, Jing",기타법인, ,38874,"Floor 4, Willow House, Cricket Square, P O Box 2804, Grand Cayman KY1-1112, Cayman Islands", ,,포털 및 기타 인터넷 정보매개 서비스업,2011-07-26,12월
(주)에프에스엔,"FSN Co., Ltd.",FSN,214270,"서정교, 박태순(공동대표이사)",코스닥시장,110111-5617076,220-88-95545,서울특별시 강남구 언주로 637 싸이칸타워,fsn.co.kr,,소프트웨어 개발 및 공급업,2015-01-16,12월
G+J Electronic Media Service GmbH,G+J Electronic Media Service GmbH,G+JElectronicMediaServiceGmbH, ,Harald Kratel,기타법인, ,10351,"Am Baumwall 11, D-20459 Hamburg, Germany", ,,일반 영화 및 비디오물 제작업,1986-10-29,01월
GB카드 주식회사,GB Card Corporation,GB카드, ,이동호,기타법인,170111-0094368,514-81-23573,서울특별시 구로구 구로3동 212-8 대륭포스트트타워1차 6층,www.gbcard.co.kr,,데이터베이스 및 온라인정보 제공업,1996-01-25,12월
(주)GF스튜디오,"GFSTUDIO.CO.,LTD",GF스튜디오, ,김명길,기타법인,110111-1713349,216-81-16294,서울특별시 중구 신당동 50-7 구일빌딩 4층,http://www.jystech.com,,게임 소프트웨어 개발 및 공급업,1999-06-12,12월
GIS소프트(주),GISSOFT,GIS소프트, ,정동회,기타법인,110111-1226839,112-81-41341,서울특별시 관악구 신림본동 1411-24 GLSsoft 빌딩2층,www.gissoft.com,,시스템 소프트웨어 개발 및 공급업,1995-12-28,12월
HAUMAN TECHNOLOGIES CORP,HAUMAN TECHNOLOGIES CORP,HAUMANTECHNOLOGIESCORP, ,팽이호,기타법인, ,22043,8th Floor. No.67 Tze Yu Road Hsinchu, ,,그 외 기타 전기 통신업,1979-04-26,12월
HIGHRIDGE TECHNOLOGY LP,HIGHRIDGE TECHNOLOGY LP,HIGHRIDGETECHNOLOGYLP, ,"JoyPort Management Pte, Ltd",기타법인, ,T18LP0128E,"서울특별시 종로구 종로3길 17 (청진동, D타워) D2 23층",-,,컴퓨터시스템 통합 자문 및 구축 서비스업,2018-03-12,12월
HSBC펀드서비스(주),ASSET MANAGEMENT TECHNOLOGY KOREA,HSBC펀드서비스, ,염대곤,기타법인,110111-1917355,107-81-79845,서울특별시 영등포구 여의도동 26-4 교보증권빌딩 6층,www.amtek.co.kr,,데이터베이스 및 온라인정보 제공업,2000-03-23,12월
ibcs,ibcs,ibcs, ,안중혁,기타법인,110111-1989099,114-81-99761,서울특별시 영등포구 여의동 15-3 미주빌딩 4층,www.ibcs.co.kr,,데이터베이스 및 온라인정보 제공업,2000-06-05,01월
(주)아이엠비씨,"iMBC Co., Ltd.",iMBC,052220,이선태,코스닥시장,110111-1903643,107-81-78996,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터)",corp.imbc.com,,영상·오디오물 제공 서비스업,2000-03-11,12월
(주)jec,JuST Enhancement Convenience. co,jec, ,최두희,기타법인,181211-0045796,620-81-15970,울산광역시 남구 달동 1325-10 jec빌딩 7층,www.jec.co.kr,,시스템 소프트웨어 개발 및 공급업,1997-08-11,12월
Juna International Limited,Juna International Limited,JunaInternationalLimited, ,Kwok Fu Hong,기타법인, ,35776173-000-06-14-3,"22/Fl, Henan Building, 90 Jaffe Road, Wanchai, Hong Kong", ,,영상ㆍ오디오 기록물 제작 및 배급업,2005-06-18,12월
(주)제이와이피엔터테인먼트,JYP Entertainment Corporation,JYP Ent.,035900,정욱,코스닥시장,110111-1264764,229-81-09576,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩)",www.jype.com,,음악 및 기타 오디오물 출판업,1996-04-25,12월
KBS미디어주식회사,KBS MEDIA,KBS미디어, ,문보현,기타법인,110111-0798467,116-81-40951,서울특별시 마포구 매봉산로 45 (상암동) KBS미디어센터,www.kbsmedia.co.kr,,방송 프로그램 제작업,1991-08-17,12월
KBS인터넷(주),KBSi,KBS인터넷, ,송종문,기타법인,110111-1955363,117-81-28552,서울특별시 마포구 상암동 1652번지,www.kbsi.co.kr,,데이터베이스 및 온라인정보 제공업,2000-04-28,12월
KBS한국방송,Korean Broadcating System,KBS한국방송, ,김인규,기타법인,111271-0001225,116-82-00640,서울특별시 영등포구 여의도동 한국방송공사,www.kbs.co.kr,,지상파 방송업,1973-03-03,12월
주식회사 KCTV 제주방송,Korea Cable TV Jeju Broadcasting Co.Ltd.,KCTV제주방송, ,공성용,기타법인,220111-0013888,616-81-11863,"제주특별자치도 제주시 아연로 2 (연동, (주)한국케이블티브이제주방송)",www.kctvjeju.com,,유선 방송업,1994-02-23,12월
(주)케이지모빌리언스,"KGMobilians Co., Ltd.",KG모빌리언스,046440,유승용,코스닥시장,110111-1911050,220-81-82546,서울특별시 중구 통일로 92 케이지타워 16층,www.mobilians.co.kr,,소프트웨어 개발 및 공급업,2000-03-17,12월
(주)케이지이니시스,"KGINICIS CO.,LTD.",KG이니시스,035600,이선재,코스닥시장,110111-1602667,220-81-55597,"서울특별시 중구 통일로 92 케이지타워 14,15층",www.inicis.com,,시스템 소프트웨어 개발 및 공급업,1998-11-03,12월
KING POWER INTERNATIONAL LIMITED,KING POWER INTERNATIONAL LIMITED,KINGPOWERINTERNATIONALLIMITED, ,Yin Fangming,기타법인, ,64281268,"ROOM 1318-19, 13/F, HOLLYWOOD PLAZA, 610 NATHAN ROAD, MONGKOK, KOWLOON, HONGKONG", ,,기타 정보기술 및 컴퓨터운영 관련 서비스업,2015-01-09,12월
KIS정보통신주식회사,"KIS Information&Communication,inc",KIS정보통신, ,조용수,기타법인,110111-0898241,116-81-43939,"서울특별시 구로구 새말로 97 (구로동, 신도림테크노마트) 센터포인트웨스트 22,23층",www.kisvan.co.kr,www.kisvan.co.kr,그 외 기타 전기 통신업,1992-10-28,12월
(주)케이엔엔,KOREA NEW NETWORK CORPORATION,KNN,058400,이오상,코스닥시장,180111-0162585,607-81-28429,부산광역시 해운대구  센텀서로 30 케이엔엔타워,www.knn.co.kr,,지상파 방송업,1994-09-07,12월
(주)KRG SOFT,KRG SOFT Corp.,KRGSOFT, ,전진수,기타법인,110111-1608970,105-81-96343,서울특별시 금천구 가산동 459-11, ,,게임 소프트웨어 개발 및 공급업,1998-11-17,12월
(주)케이티씨에스,ktcs corporation,KTcs,058850,지정용,유가증권시장,160111-0119712,314-81-42683,대전광역시 서구 갈마로 160,www.ktcs.co.kr,,데이터베이스 및 온라인정보 제공업,2001-07-02,12월
(주)케이티아이에스,ktis Corporation,KTis,058860,이선주,유가증권시장,110111-2271510,101-81-71660,서울특별시 영등포구 여의대로 14 케이티빌딩 10층,www.ktis.co.kr,,데이터베이스 및 온라인정보 제공업,2001-06-27,12월
(주)케이티밀리의서재,"kt millie seojae Co.,Ltd",KT밀리의서재,418470,박현진,코스닥시장,110111-6114451,423-88-00370,서울특별시 마포구 양화로 45 메세나폴리스 세아타워 16층,www.millie.town,,"서적, 잡지 및 기타 인쇄물 출판업",2016-07-12,12월
(주)케이티지니뮤직,KT GENIE MUSIC CORPORATION,KT지니뮤직,043610,Seo In Wook,코스닥시장,160111-0024284,314-81-03453,"서울특별시 강남구 강남대로 456 4~9층(역삼동, 한석타워)",www.geniemusic.co.kr,https://www.geniemusic.co.kr/main/index.do,영상·오디오물 제공 서비스업,1991-02-07,12월
(주)케이엑스이노베이션,"KX Innovation Co., Ltd.",KX,122450,이강봉,코스닥시장,110111-2093237,101-81-63762,서울특별시 강동구 고덕비즈밸리로6길 90 9층,www.kxgroup.co.kr,http://www.kxgroup.co.kr/,프로그램 공급업,2000-10-19,12월
 Lezhin Entertainment Corporation, Lezhin Entertainment Corporation,LezhinEntertainmentCorporation, ,Lee Jae Joon,기타법인, ,353800279ADEFGKNTV65,"1-9-9 Shibadaimon, Minato-ku, Tokyo, Japan 6th Floor", ,,데이터베이스 및 온라인정보 제공업,2015-10-26,12월
(주)엘지씨엔에스,"LG CNS Co., Ltd.",LG씨엔에스,064400,현신균,유가증권시장,110111-0516695,116-81-19477,서울특별시 강서구 마곡중앙8로 71,www.lgcns.com,,컴퓨터시스템 통합 자문 및 구축 서비스업,1987-01-14,12월
(주)LG유플러스,LG Uplus Corp,LG유플러스,032640,홍범식,유가증권시장,110111-1296676,220-81-39938,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,www.uplus.co.kr,,무선 및 위성 통신업,1996-07-11,12월
주식회사LG인터넷,LG IteNet I.,LG인터넷, ,김영찬,기타법인,110111-1437676,116-81-65059,서울특별시 영등포구 여의도동 20,www.haeli.et,,그 외 기타 전기 통신업,1997-07-10,12월
(주)LG파워콤,LG Powercom Corporation,LG파워콤,045820,이정식,기타법인,110111-1863889,120-81-98035,서울특별시 서초구 서초동 1329-7 신덕빌딩,www.lgpwc.com,,유선 통신업,2000-01-26,12월
(주)엘지헬로비전,LG HelloVision Corp.,LG헬로비전,037560,송구영,유가증권시장,110111-1144297,117-81-13423,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워)",www.lghellovision.net,,유선 방송업,1995-03-31,12월
LINFRA CORP.,LINFRA CORP.,LINFRACORP., ,KITH JAMBONGANAN,기타법인, ,53301,"07390 (삼각동, 신한금융그룹) 1층 신한투자증권 서울금융센터", ,,전기 통신업,2000-12-14,12월
LOCOJOY HONG KONG HOLDINGS LIMITED,LOCOJOY HONG KONG HOLDINGS LIMITED,LOCOJOYHONGKONGHOLDINGSLIMITED, ,Xing Shanhu,기타법인, ,1670641,"FLAT 2, 19/F HENAN BLDG 90-92 JAFFE RD WANGHAL Hong Kong", ,,게임 소프트웨어 개발 및 공급업,2011-10-11,12월
엘에스티라유텍(주),"LS THiRA-UTECH CO.,LTD",LS티라유텍,322180,김정하,코스닥시장,110111-3516105,214-87-95621,서울특별시 강남구 학동로5길 7,ls-thirautech.com,,소프트웨어 개발 및 공급업,2006-08-25,12월
(주)엠83,"M eighty-three Co.,Ltd.",M83,476080,정성진,코스닥시장,110111-7398913,414-88-01623,"서울특별시 마포구 양화로 176, 4층(동교동)",m83.co.kr,,일반 영화 및 비디오물 제작업,2020-02-20,12월
Magilink PTE. LTD.,Magilink PTE. LTD.,MagilinkPTE.LTD., ,Lee Nag Young,기타법인, ,25864,"3 Anthony Road, #09-03 Orchard Scotts, Singapore 229953", ,,기타 정보기술 및 컴퓨터운영 관련 서비스업,2000-03-02,12월
(주)MDS테크,MDS Tech Inc.,MDS테크,086960,"이창열, 이정승",코스닥시장,110111-1626188,117-81-22859,"경기도 성남시 분당구 대왕판교로644번길 49 9층(삼평동, DTC타워)",www.mdstech.co.kr,,시스템 소프트웨어 개발 및 공급업,1998-12-29,12월
네이버(주),NAVER Corporation,NAVER,035420,최수연,유가증권시장,110111-1707178,220-81-62517,경기도 성남시 분당구 정자일로 95 1784,www.navercorp.com,https://www.navercorp.com/investment/investors,포털 및 기타 인터넷 정보매개 서비스업,1999-06-02,12월
(주)넥스트엔터테인먼트월드,"Next Entertainment World Co., Ltd.",NEW,160550,김우택,코스닥시장,110111-3922550,120-87-29530,서울특별시 강남구 학동로9길 5 -,www.its-new.co.kr,,"영화, 비디오물, 방송프로그램 제작 및 배급업",2008-06-25,12월
"NEXON Co., Ltd.","NEXON Co., Ltd.","NEXONCo.,Ltd.", ,Owen Mahoney,기타법인, ,34680,2-3-1 Shinkawa Chuo-ku Tokyo 104-0033 Japan,www.nexon.co.jp,,게임 소프트웨어 개발 및 공급업,2002-12-18,12월
(주)엔이능률,"NE Neungyule, Inc.",NE능률,053290,주민홍 (각자 대표이사) 이정진 (각자 대표이사),코스닥시장,110111-1051137,105-81-65267,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층,www.neungyule.com,,서적 출판업,1994-06-28,12월
엔에이치엔(주),NHN Corporation,NHN,181710,정우진,유가증권시장,131111-0350139,144-81-15549,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,www.nhn.com,,게임 소프트웨어 개발 및 공급업,2013-08-01,12월
(주)엔에이치엔벅스,NHN BUGS Corporation,NHN벅스,104200,왕문주,코스닥시장,110111-2539322,211-87-15555,"서울특별시 강남구 강남대로 586 (논현동, 제이빌딩)",www.bugs.co.kr,https://www.bugscorp.co.kr/ir/notification,소프트웨어 개발 및 공급업,2002-06-03,12월
나이스평가정보 주식회사,"NICE Information Service Co., Ltd.",NICE평가정보,030190,김종윤,유가증권시장,110111-0393283,116-81-15020,서울특별시 영등포구 은행로 17,www.niceinfo.co.kr,www.niceinfo.co.kr,데이터베이스 및 온라인정보 제공업,1985-02-28,12월
"NTT DoCoMo, Inc.","NTT DoCoMo, Inc.","NTTDoCoMo,Inc.", ,Masao Nakamura,기타법인, ,010-00-1067912,"2-11-1, Nagato-cho, Chiyoda-ku, Tokyo 100-6150 Japan", ,,무선 및 위성 통신업,1972-08-14,12월
NURI Technologies Inc.,NURI Technologies Inc.,NURITechnologiesInc., ,"Park, Elizabeth",기타법인, ,BC1131516,SUITE 1800-510 WEST GEORGIA STREET VANCOUVER BC V6B 0M3 CANADA,https://apivio.com,,소프트웨어 개발 및 공급업,2013-09-09,12월
OCI정보통신(주),OCI Information & Communication,OCI정보통신, ,오선관,기타법인,110111-1443780,104-81-41995,"서울특별시 중구 소공로 94 (소공동, OCI주식회사)",www.ocic.co.kr,,기타 정보기술 및 컴퓨터운영 관련 서비스업,1997-07-23,12월
Oniontech Limited,Oniontech Limited,OniontechLimited, ,장종정,기타법인, ,19177,"8 Cross Street #11-00 PWC Building, Singapore 048424",www.oniontech.com,,시스템 소프트웨어 개발 및 공급업,2004-09-16,12월
(주)SA&K,SA&K Inc,SA&K, ,김용욱,기타법인,135011-0080750,134-81-39087,경기도 안산시 사1동 한양대학교안산캠퍼스 창업보육센터 306호,www.SA3000.com,,시스템 소프트웨어 개발 및 공급업,1998-04-03,06월
(주)에스에이엠지엔터테인먼트,"SAMG ENTERTAINMENT CO.,LTD",SAMG엔터,419530,김수훈,코스닥시장,110111-2034562,214-86-64290,서울특별시 강남구 테헤란로 325 8층,www.samg.net,,애니메이션 영화 및 비디오물 제작업,2000-07-26,12월
SBI핀테크솔루션즈(주),"SBI FinTech Solutions Co., Ltd.",SBI핀테크솔루션즈,950110,카네코 유이치,기타법인, ,35194,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩",https://www.sbi-finsol.co.jp/kr/,www.sbi-finsol.co.jp/kr,응용 소프트웨어 개발 및 공급업,2011-04-04,03월
(주)SBS,SEOUL BROADCASTING SYSTEM,SBS,034120,방문신,유가증권시장,110111-0731483,116-81-39357,서울특별시 양천구  목동서로 161,www.sbs.co.kr,,지상파 방송업,1990-11-14,12월
SBS미디어홀딩스(주),SBS Media Holdings,SBS미디어홀딩스,101060,신경렬,기타법인,110111-3852856,117-81-64510,서울특별시 양천구  목동서로 161,www.sbsmedia.co.kr,,텔레비전 방송업,2008-03-04,12월
(주)SC유나이티드,"SC UNITED Co., Ltd",SC유나이티드, ,성현기,기타법인,131111-0045590,129-81-32234,서울특별시 강남구 논현로145길 20 논현빌라 1층,-,,시스템 소프트웨어 개발 및 공급업,2000-01-20,12월
에스지에이 솔루션즈(주),"SGA Solutions Co.,Ltd.",SGA솔루션즈,184230,최영철,코스닥시장,110111-5221158,107-88-01818,경기도 의왕시 광진말로 54 의왕스마트시티퀀텀 B525호,sgasol.kr,,소프트웨어 개발 및 공급업,2013-09-05,12월
SINCETIMES HK SCIENCE COMPANY LIMITED,SINCETIMES HK SCIENCE COMPANY LIMITED,SINCETIMESHKSCIENCECOMPANYLIMITED, ,WANG Bin,기타법인, ,2124323,"서울특별시 강남구 테헤란로 312 (역삼동, 비젼타워)", ,,게임 소프트웨어 개발 및 공급업,2014-07-24,12월
(주)스카이월드와이드,"SKAI worldwide Co., Ltd.",SKAI,357880,신재혁,코스닥시장,110111-5255214,220-88-68408,서울특별시 강남구 테헤란로 516 정헌빌딩 4층,www.skaiworldwide.com,,응용 소프트웨어 개발 및 공급업,2013-10-28,12월
SKC&C(주), ,SKC&C, ,변재국,기타법인, , ,서울특별시 강남구 대치동 892 포스코센타서관15, ,,시스템 소프트웨어 개발 및 공급업, , 
SK IMT 주식회사,"SK IMT Co., Ltd.",SKIMT, ,강용수,기타법인,110111-2188129,101-81-68016,서울특별시 중구 태평로 1가 84 서울파이낸스센터, ,,무선 및 위성 통신업,2001-03-08,12월
"Skywinds Technology Co., Ltd","Skywinds Technology Co., Ltd","SkywindsTechnologyCo.,Ltd", ,Yunpeng He,기타법인, ,43772,"OMC Chambers, Wickhams Cay 1, Road Town, Tortola, British Virgin Island", ,,시스템 소프트웨어 개발 및 공급업,2014-08-26,12월
SK마케팅앤컴퍼니 주식회사,SK Marketing & Company Co. Ltd,SK마케팅앤컴퍼니, ,이방형,기타법인,110111-3874066,104-86-13723,서울특별시 중구 남대문로4가 45, ,,데이터베이스 및 온라인정보 제공업,2008-04-07,12월
SK텔레콤(주),"SK TELECOM CO.,LTD",SK텔레콤,017670,유영상,유가증권시장,110111-0371346,104-81-37225,서울특별시 중구  을지로 65 (을자로2가),www.sktelecom.com,,무선 및 위성 통신업,1984-04-20,12월
So-net Entertainment Corporation,So-net Entertainment Corporation,So-netEntertainmentCorporation, ,요시다 겐이치로,기타법인, ,31522,"ThinkPark Tower, 2-1-1 Osaki, Shinagawa-ku, Tokyo, 141-6010 Japan", ,,유선 통신업,1995-11-01,03월
(주)숲,"SOOP CO., LTD.",SOOP,067160,"Seo Soo Kiel, Choi Young Woo",코스닥시장,110111-1263203,220-81-10886,"경기도 성남시 분당구  판교로228번길 15 판교7벤처밸리3 1단지 2동 201, 901호",corp.afreecatv.com,corp.afreecatv.com/ir.php,소프트웨어 개발 및 공급업,1996-04-22,12월
SR정보통신주식회사,"SR Information Communication CO.,LTD.",SR정보통신, ,최형섭,기타법인,110111-1298713,211-86-15577,서울특별시 서초구 잠원동 25-30 부림빌딩 2층,www.sr.co.kr,,시스템 소프트웨어 개발 및 공급업,1996-07-18,12월
Sun Seven Stars Hong Kong Cultural Development Limited,Sun Seven Stars Hong Kong Cultural Development Limited,SunSevenStarsHongKongCulturalDevelopmentLimited, ,"WANG, PAO-YUN",기타법인, ,41442,"서울특별시 강남구 압구정로 208 (신사동, 본경빌딩) 3층", ,,"영화, 비디오물 및 방송프로그램 배급업",2015-04-30,12월
더이앤엠(주),"THE E&M Co., Ltd.",THE E&M,089230,신환률,코스닥시장,180111-0414837,603-81-50424,서울특별시 서초구 강남대로101안길 41 .,www.theenm.com,,기타 정보 서비스업,2002-07-08,12월
UNITED TECHNOLOGIES CORP.,UNITED TECHNOLOGIES CORP.,UNITEDTECHNOLOGIESCORP., ,GILLES A RENAUD,기타법인, ,5458,서울특별시 종로구 신문로2가 시티빌딩, ,,컴퓨터시스템 통합 자문 및 구축 서비스업,1934-07-21,01월
"VeriSign, Inc.","VeriSign, Inc.","VeriSign,Inc.", ,"Richard H, Goshorn",기타법인, ,IRS 94-3221585,"21355 Ridgetop Circle, Dulles, Virginia 20166, USA",www.verisign.com,,응용 소프트웨어 개발 및 공급업,1995-04-12,12월
WEBTOON ENTERTAINMENT INC.,WEBTOON ENTERTAINMENT INC.,WEBTOONENTERTAINMENTINC., ,JUN KOO KIM,기타법인, ,3948558,"5700 WILSHIRE BLVD. SUITE 220 LOS ANGELES, CA 90036", ,,만화 출판업,2016-09-09,12월
WEMIX PTE. LTD.,WEMIX PTE. LTD.,WEMIXPTE.LTD., ,"Kim, Suk Hwan",기타법인, ,201-90-34329,"CAPITAGREEN, SINGAPORE 048946", ,,게임 소프트웨어 개발 및 공급업,2019-01-29,12월
Wiselink Holdings Limited,Wiselink Holdings Limited,WiselinkHoldingsLimited, ,"MichaelV, Pollcarplo",기타법인, ,k0027701,IFS chambers road town british vlrgin Islands, ,,기타 정보기술 및 컴퓨터운영 관련 서비스업,1999-07-15,12월
(주)와이지플러스,"YG PLUS, INC.",YG PLUS,037270,최성준,유가증권시장,110111-1342289,120-81-67338,"서울특별시 영등포구 국제금융로 10 19층, (여의도동, 쓰리아이에프씨)",www.ygplus.com,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1996-11-15,12월
(주)와이티엔,YTN,YTN,040300,-,코스닥시장,110111-0971873,102-81-32883,서울특별시 마포구 상암산로 76와이티엔뉴스퀘어,www.ytn.co.kr,,"영화, 비디오물, 방송프로그램 제작 및 배급업",1993-09-14,12월
주식회사가람코리아,"Garam.co.,ltd",가람코리아, ,김석철,기타법인,200111-0194658,410-81-89268,광주광역시 광산구 우산동 1587-1, ,,영화관 운영업,2004-06-03,12월
(주)가민정보시스템,"COMIN Information Systems Inc,.",가민정보시스템, ,"신용민, 이신성",기타법인,200111-0045918,410-81-22404,광주광역시 남구 진월동 314-7번지 광주은행3층,www.comin.com,,시스템 소프트웨어 개발 및 공급업,1994-07-01,12월
