회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)무궁,MU KUNG,무궁, ,신상수,기타법인,110111-4723692,220-88-27523,"서울특별시 강남구 논현로79길 72 (역삼동, 올림피아센타)",scalatium.com,,예식장업,2011-11-15,12월
(주)무등산랜드,"MudeungsanLand co., Ltd.",무등산랜드, ,고영수,기타법인,200111-0334733,410-86-59963,광주광역시 광산구 우산동 1581-3, ,,욕탕업,2012-01-19,12월
재단법인 무봉,-,무봉, ,김명환,기타법인,250122-0041244,167-82-00269,서울특별시 양천구 남부순환로 322 (신월동) 덕신빌딩 5층, ,,그 외 기타 협회 및 단체,2019-07-01,12월
재단법인 묵암재단,MUKAM Foundation,묵암재단, ,박현규,기타법인,110122-0138371,574-82-00472,"서울특별시 서초구 서초대로53길 25 5층(서초동, 티유빌딩)", ,,그 외 기타 협회 및 단체,2023-09-04,12월
문경온천관광(주),Mungyeong hot spring tourism co.Ltd,문경온천관광, ,이선화,기타법인,175411-0003665,511-81-08651,경상북도 문경시 문경읍 온천2길 24 (하리), ,,욕탕업,2000-03-23,12월
재단법인 문암장학문화재단,MUNAM SCHOLARSHIP FOUNDATION,문암장학문화재단, ,권혁운,기타법인,184122-0009748,157-82-00073,"부산광역시 남구 이기대공원로 57-170 (용호동, 이기대동생말지구편익시설)",www.munamfoundation.or.kr,,그 외 기타 협회 및 단체,2016-03-31,12월
재단법인 물류산업진흥재단,KLIP,물류산업진흥재단, ,심재선,기타법인,270122-0031879,105-82-21704,"서울특별시 마포구 마포대로 34 (도화동, 도원빌딩) 9층",www.klip.or.kr,,그 외 기타 협회 및 단체,2013-12-18,12월
재단법인 미래국제재단,MIRAE INTERNATIONAL FOUNDATION,미래국제재단, ,김선동,기타법인,254122-0019239,107-82-14136,"서울특별시 영등포구 국회대로 800 (여의도동, 진미파라곤) 324호", ,,협회 및 단체,2010-02-18,12월
(주)미래상조119,ASAN,미래상조119, ,채규정,기타법인,110111-3432559,212-81-75364,"서울특별시 마포구 마포대로 180-13 (공덕동, 영지빌딩) 2층", ,,장례식장 및 장의관련 서비스업,2006-04-05,12월
미래상조119(주),miraesangjo,미래상조119, ,송기호,기타법인,210111-0062077,418-81-26914,"전라북도 전주시 완산구 전라감영5길 20 4층 (경원동1가, 전주경원동우체국)", ,,장례식장 및 장의관련 서비스업,2008-10-24,12월
재단법인 미래에셋희망재단 ,Miraeasset hope foundation,미래에셋희망재단, ,김승건,기타법인,205321-0000186,414-82-02125,"광주광역시 서구 시청로 81 (치평동, 대아빌딩)",hopemiraeasset.com/,,그 외 기타 협회 및 단체,1998-04-30,12월
미래웨딩캐슬(주),"MIRAE WEDDING CASTLE CO.,LTD",미래웨딩캐슬, ,김미영,기타법인,194211-0074237,609-81-69009,경상남도 창원시 팔용동 34-10, ,,예식장업,2005-06-27,12월
재단법인 미래콘텐츠재단,Gamein Foundation,미래콘텐츠재단, ,남궁훈,기타법인,135622-0005620,144-82-00645,경기도 성남시 분당구 판교로256번길 19 (삼평동) 3층,www.gamein.or.kr/,,그 외 기타 협회 및 단체,2013-11-27,12월
주식회사 미르,AMIJI WELLPORTS CENTER,미르, ,하국택,기타법인,176011-0021549,513-81-17947,경상북도 구미시 구평동 709-7,www.amiji.co.kr,,욕탕업,2000-04-03,12월
주식회사 미즈맘메디컬센터,"Mizmam Medical Center Co.,LTD.",미즈맘메디컬센터, ,조재관,기타법인,110111-5114618,113-86-69949,"서울특별시 구로구 중앙로3길 46 (고척동, 강서빌딩602호)", ,,개인 간병 및 유사 서비스업,2013-04-01,12월
(주)미쯔비시상사,MITSUBISHI CORPORATION,미쯔비시상사, ,TAKESHI SAKURAI,기타법인, ,7813,6-3. MARUNOUCHI 2-CHOME. CHITODA-KU. TOKYO. JAPAN, ,,그 외 기타 분류 안된 개인 서비스업,1950-04-01,12월
주식회사 민탑,MINTOP,민탑, ,한정수,기타법인,200111-0628425,847-86-01950,광주광역시 서구 전평길 48 광주 서구 전평길 48 (매월동), ,,욕탕업,2021-03-11,12월
주식회사 밀코오토월드,MILCO AUTOWORLD,밀코오토월드, ,양창수,기타법인,130111-0018324,124-81-27570,경기도 수원시 영통구 매탄동 296-4, ,,자동차 종합 수리업,1992-01-21,06월
주식회사 바로연,baroyeon,바로연, ,고영득,기타법인,110111-4403210,220-88-02876,"서울특별시 강남구 테헤란로1길 28-11 4층 4075호(역삼동,조이빌딩)",www.baroyeon.co.kr/,,결혼 상담 및 준비 서비스업,2010-08-09,12월
(주)백악관웨딩하우스,the white wedding house,백악관웨딩하우스, ,우창훈,기타법인,110111-1254939,207-81-45441,"서울특별시 광진구 천호대로 643 (중곡동, 웨딩부띠크르블랑)",www.whwh.co.kr,,예식장업,1996-04-15,12월
주식회사 백양실업,baekyang.co.kr,백양실업, ,최희숙,기타법인,205911-0003262,409-81-39642,전라남도 장성군 황룡면 신기길 93 주식회사 백양실업,byclean.kr/,,산업용 세탁업,1997-10-01,12월
백운산업개발주식회사,baekwoon corporation,백운산업개발, ,송윤숙,기타법인,110111-0986418,110-81-60395,서울특별시 서대문구 창천동 13-52번지, ,,욕탕업,2002-11-22,12월
주식회사 베스트장례문화원,Best funeral cultural center,베스트장례문화원, ,이병규,기타법인,200111-0731880,559-87-03363,광주광역시 광산구 상무대로 509 (우산동), ,,장례식장 및 관련 서비스업,2024-08-30,12월
주식회사 벨티스톤,"VELTISTON Co., Ltd.",벨티스톤, ,고은서,기타법인,110111-4857532,120-87-82345,"경기도 하남시 조정대로 35 (풍산동, 미사하우스디엘타워) 5층 F504호 일부", ,,반려동물 장묘 및 보호 서비스업,2012-05-01,12월
주식회사 별빛에너지,starlight energy,별빛에너지, ,김혜림,기타법인,120111-1404623,417-81-54533,인천광역시 연수구 경원대로535번길 21 (선학동), ,,자동차 세차업,2024-08-14,12월
보듬컴퍼니,Bodeum Company,보듬컴퍼니, ,강형욱,기타법인,110111-5446665,114-87-19376,경기도 남양주시 오남읍 진건오남로667번길 64-33 (오남리), ,,반려동물 장묘 및 보호 서비스업,2014-06-23,12월
보람상조개발(주),"Boram Sangjo Development Co,. Ltd.",보람상조개발, ,"오준오, 이창우",기타법인,180111-0121060,604-81-31279,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩) 23층", ,,장례식장 및 장의관련 서비스업,1992-01-01,12월
보람상조라이프(주),"Boram Sangjo Co., Ltd.",보람상조라이프, ,오준오,기타법인,180111-0149517,604-81-23895,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩) 24층", ,,장례식장 및 장의관련 서비스업,1994-01-01,12월
보람상조리더스(주),"Boram Sangjo Leaders Co., Ltd.",보람상조리더스, ,김미자,기타법인,180111-0180826,604-81-27834,"서울특별시 성동구 광나루로 130 (성수동1가, 서울숲IT캐슬)", ,,장례식장 및 장의관련 서비스업,1995-04-15,12월
보람상조실로암(주),Boram Sangio Silroam,보람상조실로암, ,오준오,기타법인,110111-3540873,212-81-77208,"서울특별시 중구 세종대로 73 24층(서소문동, 태평로빌딩)",www.boramsangjosiloam.com,,장례식장 및 장의관련 서비스업,2006-10-16,12월
보람상조애니콜 주식회사,Boram Anycall,보람상조애니콜, ,이창우,기타법인,110111-3811282,215-87-10848,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩) 25층", ,,장례식장 및 장의관련 서비스업,2008-01-02,12월
보람상조유니온(주),"Boram Sangjo Union Co., Ltd.",보람상조유니온, ,김미자,기타법인,110111-4078782,220-87-80502,서울특별시 강남구 역삼동 642-19 역삼하이츠빌딩 2층, ,,장례식장 및 장의관련 서비스업,2009-04-16,12월
보람상조임팩트(주),"Boram Sangjo Impact Co., Ltd.",보람상조임팩트, ,김미자,기타법인,110111-4058388,220-87-78710,"서울특별시 성동구 광나루로 130 709호, (성수동1가, 서울숲IT캐슬)", ,,장례식장 및 장의관련 서비스업,2009-03-17,12월
보람상조피플(주),"Boram Sangjo People Co., Ltd",보람상조피플, ,김미자,기타법인,110111-4058354,220-87-79209,"서울특별시 성동구 광나루로 130 7층(성수동1가, 서울숲IT캐슬)", ,,장례식장 및 장의관련 서비스업,2009-03-17,12월
주식회사 보릿골푸드,"borigolfood.,Co.Ltd",보릿골푸드, ,김춘수,기타법인,120111-0295445,122-81-74117,인천광역시 계양구 경명대로 977 (계산동) 나동 지1호,bori-1101@daum.net,,산업 단체,2002-08-23,12월
(주)보테가마지오,bottegamaggio,보테가마지오, ,황정연,기타법인,110111-5024700,206-86-72805,"서울특별시 성동구 서울숲2길 32-14 (성수동1가, 갤러리아포레)",bottegam@hometax.go.kr,,예식장업,2012-12-20,12월
(주)보훈상조,bohoon,보훈상조, ,박병곤,기타법인,194211-0210154,609-86-10987,경상남도 창원시 의창구 원이대로 58 (도계동)농업인회관 302호, ,,장례식장 및 장의관련 서비스업,2013-02-07,12월
(주)부림랜드,Bulim-land,부림랜드, ,여문섭,기타법인,220111-0047077,616-81-47264,제주특별자치도 제주시 연동 1409, ,,욕탕업,2004-03-26,12월
부모사랑주식회사,BUMOSARANG Corp.,부모사랑, ,배석도,기타법인,110111-3872648,114-86-66402,"서울특별시 서초구 방배로 123 4층 (방배동, 사단법인대한미용사회)",www.bumo-sarang.com,,장례식장 및 장의관련 서비스업,2008-05-06,12월
주식회사 부송개발,"Boosong Development Co.,Ltd",부송개발, ,심윤갑,기타법인,191111-0075016,355-86-00734,경상남도 진주시 충의로 119 (충무공동), ,,욕탕업,2017-01-26,12월
(주)부천장례예식장,Bucheon Funeral Home,부천장례예식장, ,이범주,기타법인,121111-0051490,130-81-51890,경기도 부천시 원미로 213 (춘의동),www.부천장례예식장.kr,,장례식장 및 장의관련 서비스업,1997-03-10,12월
주식회사 북대전현대상용서비스,North daejeon hyundai service,북대전현대상용서비스, ,정진숙,기타법인,160111-0621147,372-88-02425,대전광역시 대덕구 대전로 1324 (읍내동), ,,자동차 종합 수리업,2022-02-25,12월
북서울서비스(주), ,북서울서비스, ,이재인,기타법인,110111-0574487,210-81-10900,서울특별시 도봉구 도봉 2동 62-3, ,,자동차 종합 수리업,1988-05-12,12월
분당앤스퀘어,BUNDANG NSQUARE,분당앤스퀘어, ,최희자,기타법인,131111-0485655,543-81-00791,"경기도 성남시 분당구 탄천상로151번길 20 (구미동, 월드쇼핑,삼성SDA), 분당앤스퀘어 4, 5층",www.bundangn.co.kr,,예식장업,2017-06-23,12월
재단법인 브라이언임팩트,Brian Impact Foundation,브라이언임팩트, ,김정호,기타법인,135622-0007725,809-82-00437,서울특별시 강남구 테헤란로98길 11 (대치동),www.brianimpact.org,,그 외 기타 협회 및 단체,2021-06-01,12월
(주)브이아이피장례타운,vip장례타운,브이아이피장례타운, ,"고병희, 김판동, 김해용, 김성중",기타법인,200111-0414056,408-86-13120,광주광역시 서구 풍서좌로 237 (매월동), ,,장례식장 및 장의관련 서비스업,2014-12-08,12월
비엠케이코스모(주),bmkcosmo,비엠케이코스모, ,배중순,기타법인,160111-0290984,305-86-15528,대전광역시 중구 서문로 133 (문화동),"www.thebmk.co,kr",,예식장업,2012-01-03,12월
주식회사 비와이드,BWIDE,비와이드, ,강영모,기타법인,134811-0644626,742-81-02310,경기도 군포시 산본로386번길 4-19 2층(산본동), ,,개인 간병 및 유사 서비스업,2021-09-17,12월
주식회사 비젼오스텍,"VISION AST CO.,LTD.",비젼오스텍, ,정연철,기타법인,110111-1130551,109-81-42738,서울특별시 강서구 등촌동 660-12,www.seo-seoul.com,,자동차 종합 수리업,1995-09-21,12월
(주)비즈넷파트너스,Biz.Net,비즈넷파트너스, ,장종원,기타법인,110111-2580242,120-86-40576,서울특별시 강남구 역삼동 654-3 프라자빌딩 6층, ,,그 외 기타 분류 안된 개인 서비스업,2002-08-01,12월
주식회사 빌드원주택,buildone,빌드원주택, ,장지언,기타법인,171711-0118074,281-88-00096,"경상북도 포항시 북구 법원로8번길 28 (장성동, 빌드원르헤브)", ,,산업 단체,2015-06-02,12월
사단법인 대산신용호기념사업회,Daesan Shin Yong Ho Memorial Society,사단법인대산신용호기념사업회, ,남궁훈,기타법인,110121-0040685,104-82-09314,"서울특별시 동대문구 왕산로 10 (신설동, 한성빌딩)",www.daesanmemorial.org,,그 외 기타 협회 및 단체,2005-09-15,12월
사단법인 루트임팩트,Root Impact,사단법인루트임팩트, ,허재형,기타법인,110321-0039915,101-82-21959,"서울특별시 성동구 뚝섬로1나길 5 (성수동1가, 헤이그라운드(HEYGROUND)) G205",rootimpact.org/,,그 외 기타 협회 및 단체,2012-07-23,12월
사단법인 아시안미션,ASIAN MISSION,사단법인아시안미션, ,정재철,기타법인,111421-0022610,105-82-13131,"서울특별시 금천구 가산디지털1로 186 (가산동, 제이플라츠) 204호", ,,그 외 기타 협회 및 단체,2003-05-20,12월
사단법인 우리농업지키기운동본부,JIKIGI,사단법인우리농업지키기운동본부, ,우진하,기타법인,110121-0042194,104-82-09667,서울특별시 중구 통일로 120 5층,www.jikigi.nonghyup.com/,,그 외 기타 협회 및 단체,2006-05-10,12월
사단법인 의령군장학회,Incorporated association Uiryeong scholarship association,사단법인의령군장학회, ,오영호,기타법인,194521-0000540,286-82-00051,경상남도 의령군 의령읍 충익로 63,www.uiryeong.go.kr/edu,,그 외 기타 협회 및 단체,2016-09-01,12월
사단법인 한국번역가협회,KOREAN SOCIETY OF TRANSLATORS,사단법인한국번역가협회, ,임승표,기타법인,111421-0008545,105-82-10473,"서울특별시 도봉구 노해로63길 43 (창동, 도봉구행정지원센터) 지하 102호 한국번역가협회",kstinc.or.kr/,,전문가 단체,1998-03-10,12월
사단법인 한미동맹친선협회,ROK-US Alliance Friendship Association,사단법인한미동맹친선협회, ,우현의,기타법인,270121-0028240,105-82-18140,서울특별시 동작구 장승배기로 118-1 (노량진동), ,,그 외 기타 협회 및 단체,2010-03-10,12월
주식회사 사일온천,"Sailspa Co.,Ltd",사일온천, ,전주근,기타법인,174711-0014964,505-81-36939,경상북도 영천시 서산동 산123,www.sailspa.com,,욕탕업,2002-12-09,12월
주식회사 사평,sapyeong,사평, ,강석식,기타법인,191111-0070008,369-87-00287,서울특별시 강남구 논현로132길 5 (논현동) 3층303호, ,,그 외 기타 협회 및 단체,2015-12-14,12월
사회복지법인 동행복지재단,DONGHAENG FOUNDATION,사회복지법인동행복지재단, ,허동수,기타법인,110332-0016837,845-82-00049,"서울특별시 종로구 계동길 31 1층 (재동, 보헌빌딩)", ,,그 외 기타 협회 및 단체,2015-11-26,12월
사회복지법인미래에셋박현주재단,Mirae Asset Park Hyeon Joo Foundation,사회복지법인미래에셋박현주재단, ,장용성,기타법인,116132-0009070,107-82-06844,"서울특별시 중구 을지로5길 26 (수하동, 미래에셋센터원(MiraeAssetCENTER1)) 동관 12층",foundation.miraeasset.com/,,그 외 기타 협회 및 단체,2000-03-28,12월
사회복지법인 성우희망재단,Social Welfare Foundation       Sungwoo Hope Foundation,사회복지법인성우희망재단, ,이명근,기타법인,181132-0003122,621-82-12804,부산광역시 기장군 정관면 농공길 2-9, ,,그 외 기타 협회 및 단체,2012-09-04,12월
사회복지법인진암사회복지재단,JIN AM Social Welfare Foundation,사회복지법인진암사회복지재단, ,김정완,기타법인,134732-0001197,125-82-04131,"서울특별시 종로구 종로1길 50 (중학동, 더케이트윈타워)", ,,그 외 기타 협회 및 단체,1994-01-04,12월
사회복지법인 현대백화점사회복지재단,HYUNDAI DEPARTMENT STORE FOUNDATION ,사회복지법인현대백화점사회복지재단, ,정지선,기타법인,114632-0034475,211-82-15453,"서울특별시 강남구 테헤란로98길 12 (대치동, 현대백화점본사)",www.ehyundai.com/newportal/sc/main/main.do,,그 외 기타 협회 및 단체,2006-07-28,12월
재단법인 사회적가치연구원,Center for Social value Enhancement Studies,사회적가치연구원, ,최태원,기타법인,110122-0122712,578-82-00187,서울특별시 강남구 테헤란로 211 (역삼동) 17층,www.cses.re.kr,,그 외 기타 협회 및 단체,2018-04-25,12월
(주)산수디앤씨,san soo bosuk-sauna,산수디앤씨, ,정종기,기타법인,110111-1406613,214-86-16236,서울특별시 도봉구 쌍문1동 508-1,www.sansusauna.co.kr,,욕탕업,1997-04-23,12월
재단법인 산업안전상생재단,Foundation for Industrial Safety Partnerships,산업안전상생재단, ,안경덕,기타법인,110322-0057494,602-82-09633,"서울특별시 종로구 율곡로 75 (계동, 현대빌딩) 3층",ispf.or.kr/,,그 외 기타 협회 및 단체,2022-10-04,12월
삼동물산(주),"SAMDONG MULSAN CO..,LTD",삼동물산, ,김태환,기타법인,160111-0082034,305-81-32615,충청북도 청원군 현도면 죽암리273-1, ,,그 외 기타 분류 안된 개인 서비스업,1999-05-13,12월
재단법인 삼라희망재단,SM HOPE,삼라희망재단, ,우연아,기타법인,254122-0021127,107-82-15509,"서울특별시 영등포구 선유동1로 22 (당산동2가, 당산주차빌딩)",삼라희망재단.com/,,그 외 기타 협회 및 단체,2011-10-20,12월
삼보엔알디주식회사,"Sambo, co.ltd",삼보엔알디, ,김정곤,기타법인,194211-0198904,609-86-05392,경상남도 밀양시 삼문동 562-12,-,,욕탕업,2012-04-13,12월
주식회사 삼산,SAMSAN,삼산, ,도동학,기타법인,220111-0238246,557-88-02443,"제주특별자치도 제주시 서해안로 236 (도두일동, 도두해수파크)", ,,욕탕업,2022-04-22,12월
삼성복지상조(주),SAMSUNGHELP Co.Ltd,삼성복지상조, ,이명우,기타법인,160111-0186828,314-81-72979,부산광역시 연제구 거제1동 1-73 중앙빌딩 3층,www.samsunghelp.com,,장례식장 및 장의관련 서비스업,2005-03-10,12월
재단법인삼성언론재단,Samsung Press Foundation,삼성언론재단, ,이재경,기타법인,110121-0028010,104-82-05981,"서울특별시 서초구 서초대로74길 4 (서초동, 삼성생명서초타워) 19층",samsungpf.org/,,그 외 기타 협회 및 단체,1995-12-09,12월
삼성전자 서비스주식회사,"SAMSUNNG ELECTRONICS SERVICE CO., LTD",삼성전자서비스, ,김영호,기타법인,130111-0049139,124-81-58485,경기도 수원시 영통구 삼성로 290 (원천동),www.samsungsvc.co.kr,,개인 및 소비용품 수리업,1998-10-27,12월
삼성플러스상조 주식회사,"SamsungPlus Co., Ltd.",삼성플러스상조, ,정재섭,기타법인,190111-0062030,608-81-64660,"경상남도 창원시 마산회원구 북성로 118 401(회원동, 한효프라자)", ,,장례식장 및 장의관련 서비스업,2006-10-25,12월
삼신전문장례식장주식회사,"SAMSIN FUNERAL HOME CO., LTD.",삼신전문장례식장, ,안영선,기타법인,180111-0500636,606-81-89025,부산광역시 사상구 감전동 161-5, ,,장례식장 및 장의관련 서비스업,2004-11-08,12월
(주)삼연,"THREE YOUN CO.,LTD",삼연, ,이곤,기타법인,170111-0401844,504-81-86663,"대구광역시 중구 명덕로 127 (남산동, 대구상조)", ,,장례식장 및 장의관련 서비스업,2010-04-12,12월
(주)삼원,"KUMHO.CO.,LTD",삼원, ,이둘숙,기타법인,176011-0008365,513-81-07788,경상북도 구미시 원평동 964-740, ,,예식장업,1994-04-16,12월
주식회사 삼육리더스라이프,SAHMYOOK LEADER''S LIFE,삼육리더스라이프, ,최명섭,기타법인,110111-4423945,204-86-22857,"서울특별시 동대문구 망우로 82 (휘경동, 삼육서울병원)",www.sda36sj.com,,장례식장 및 장의관련 서비스업,2010-09-01,12월
삼정에스디주식회사,SamjungSD,삼정에스디, ,정명균,기타법인,110111-1369142,220-81-42165,서울특별시 중구 순화동 151 지하2층 201, ,,욕탕업,1997-01-23,12월
삼척온천주식회사,Samcheok Inc,삼척온천, ,이인교,기타법인,144611-0004070,222-81-09236,강원도 삼척시 정상동 70~455 351-1, ,,욕탕업,1998-11-09,12월
상조보증주식회사,"sangjo guarantee co,.ltd",상조보증, ,조중래,기타법인,180111-0309567,605-81-35128,부산광역시 동구 초량3동 1155 반도보라 103호, ,,그 외 기타 협회 및 단체,2000-01-01,12월
주식회사 새라컴퍼니,SAERA LTD,새라컴퍼니, ,김정선,기타법인,121111-0261883,130-86-88242,서울특별시 강서구 화곡로66길 181 (등촌동) 2층, ,,자동차 전문 수리업,2013-12-16,12월
주식회사 새부산상조,"NEWPUSAN SANGJO CO., LTD",새부산상조, ,고봉복,기타법인,180111-0104347,604-81-14213,부산광역시 동구 초량3동 1154-1,www.saebusan.co.kr,,그 외 기타 협회 및 단체,1990-10-22,12월
새하늘공원 주식회사,"NEW SKY PARK CO., LTD.",새하늘공원, ,구정모,기타법인,134311-0010174,132-81-58768,경기도 양평군 지평면 고재길 90 (곡수리), ,,"화장터 운영, 묘지 분양 및 관리업",2004-12-31,12월
주식회사 샘,sem co.ltd,샘, ,권순임,기타법인,131111-0333276,144-81-11617,"경기도 성남시 분당구 서현로 170 (서현동, 풍림아이원플러스) 3층 제에스 331호", ,,산업 단체,2013-03-15,12월
재단법인 서경배과학재단,Suh Kyungbae Foundation,서경배과학재단, ,서경배,기타법인,110322-0047338,382-82-00121,"서울특별시 용산구 한강대로 100 (한강로2가, 아모레퍼시픽) 14층",www.suhf.org,,그 외 기타 협회 및 단체,2016-08-26,12월
서대전서비스 기아오토큐(주),"Sdkia Co.,Ltd",서대전서비스기아오토큐, ,"이지훈, 이형풍",기타법인,110111-5234721,217-81-42607,"대전광역시 서구 도안동로12번길 26 (도안동, 기아오토큐정비공장)", ,,자동차 종합 수리업,2013-09-27,12월
주식회사 서린,jeong yeon mi,서린, ,정연미,기타법인,180111-1054905,281-81-00516,"부산광역시 강서구 명지국제1로 60-1 (명지동, SR빌딩) 610호", ,,그 외 기타 협회 및 단체,2016-09-27,12월
(재)서암윤세영재단,Seoam Yoon Se Young Foundation,서암윤세영재단, ,윤세영,기타법인,111222-0000626,105-82-10056,"서울특별시 강서구 양천로 442 (등촌동, SBS방송국등촌동스튜디오) 3층",foundation.sbs.co.kr/seoam.cmd?act=index,,그 외 기타 협회 및 단체,1989-08-23,12월
서울레저프라자 주식회사,Seoul Leisure plaza ,서울레저프라자, ,이순빈,기타법인,110111-0938352,112-81-38716,서울특별시 성북구 길음1동 540-2,www.sltown.co.kr,,욕탕업,2002-10-02,12월
(재)서한장학문화재단,Seo Han Encouragement Foundation,서한장학문화재단, ,김을영,기타법인,170122-0006071,502-82-16571,대구광역시 수성구 수성동2가 교보빌딩, ,,그 외 기타 협회 및 단체,2005-07-28,12월
주식회사 선동,sun dong,선동, ,김남규,기타법인,134211-0161002,577-81-00042,"인천광역시 연수구 송도과학로 32 에스2202호(송도동, 송도테크노파크IT센터)", ,,그 외 기타 협회 및 단체,2015-03-10,12월
재단법인 선현,SUNHYUN FOUNDATION,선현, ,곽재선,기타법인,121122-0001955,130-82-14932,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 21층",www.sunhyun.or.kr,,그 외 기타 협회 및 단체,2007-12-11,12월
설악웨딩타운 주식회사,"Seolak wedding town Co.,Ltd.",설악웨딩타운, ,김석형,기타법인,165011-0015587,311-81-21428,충청남도 당진군 당진읍 채운리 30-24, ,,예식장업,2004-11-04,12월
성민개발 (주),sungmindevelopment Ltd.,성민개발, ,전영종,기타법인,110111-0760218,211-87-24054,서울특별시 서초구 서초동 1321-6 동아타워지층, ,,욕탕업,2002-11-20,12월
(주)성서현대정비센터,SEONGSEO HYUNDAE,성서현대정비센터, ,김용규,기타법인,170111-0402652,503-81-89478,대구광역시 달서구 달서대로109길 58 (호산동), ,,자동차 전문 수리업,2010-06-10,12월
주식회사 성원건업,"Sungwon Construction Co., Ltd",성원건업, ,김기호,기타법인,234111-0120546,280-81-02258,경상남도 양산시 동면 양산대로 450 (석산리) 2층, ,,산업 단체,2021-03-05,12월
(주)성원공업정비센타,Seong won car maintenance centa,성원공업정비센타, ,최명철,기타법인,134111-0012033,133-81-04737,경기도 시흥시 시흥대로 1124-2 (신천동), ,,자동차 종합 수리업,1985-12-05,12월
(주)성진정비,SUNGJIN MOTORS,성진정비, ,조현우,기타법인,195511-0220429,764-81-01121,경상남도 김해시 서김해산단안길 76 (풍유동), ,,자동차 종합 수리업,2018-07-01,12월
재단법인 세계평화통일가정연합유지재단,Foundation for the support of the Family Federation for World Pease and Unification,세계평화통일가정연합유지재단, ,WILLIS GERARD FRANCIS,기타법인,114222-0000053,106-82-02582,"서울특별시 마포구 마포대로 34 (도화동, 도원빌딩)", ,,기독교 단체,1963-10-04,12월
세룡건설주식회사,"seryong constrution co.,ltd",세룡건설, ,김재연,기타법인,110111-0758619,105-81-67310,서울특별시 마포구 동교동 158-28, ,,그 외 기타 분류 안된 개인 서비스업,1995-01-03,12월
(주)세명홀딩스,"SOEMYUNG HOLDINGS. CO,LTD.",세명홀딩스, ,김미영,기타법인,180111-1406734,224-87-02454,"경상남도 창원시 의창구 용동로57번안길 9-11 104호(사림동,미래리움2)", ,,예식장업,2021-11-26,12월
(주)세보연,seboyun,세보연, ,빈창범 박진석,기타법인,150111-0141585,301-86-09441,충청북도 청주시 흥덕구 강내면 학천길 5 (학천리), ,,예식장업,2010-11-17,12월
주식회사 세븐업,SEVEN UP,세븐업, ,김성수,기타법인,134511-0211447,142-81-59764,"경기도 용인시 기흥구 영통로501번길 1-16 (영덕동, 업타운코트)", ,,그 외 기타 협회 및 단체,2013-06-01,12월
재단법인 세아이운형문화재단,SeAH Woon Hyung Lee Foundation,세아이운형문화재단, ,박의숙,기타법인,270122-0031514,105-82-21252,"서울특별시 마포구 양화로 45 (서교동, 세아타워) 18층",woonhyungleefoundation.org/,,그 외 기타 협회 및 단체,2013-08-07,06월
재단법인 세아재단,Sea-A Foundation,세아재단, ,김수남,기타법인,110122-0114701,851-82-00059,"서울특별시 강남구 영동대로 429 (대치동, 세아빌딩)", ,,그 외 기타 협회 및 단체,2015-10-30,12월
(재)세아해암학술장학재단,SeAH Haiam Scholarship Foundation,세아해암학술장학재단, ,이순형,기타법인,114222-0006506,106-82-06119,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스) 세아타워",haiam.seah.co.kr,,그 외 기타 협회 및 단체,1992-12-31,12월
재단법인 세종재단,Sejong Foundation,세종재단, ,공로명,기타법인,131122-0000046,129-82-01698,경기도 성남시 수정구 시흥동 230,www.sejong.org,,그 외 기타 협회 및 단체,1983-12-01,12월
주식회사 세진.오션스파,coperation  sejin. ocean spar,세진.오션스파, ,노일석,기타법인,200111-0219612,410-86-00292,"광주광역시 광산구 월계동 893-9 4,5층", ,,욕탕업,2005-12-22,12월
주식회사 세컨신드롬,Second Syndrome Inc.,세컨신드롬, ,홍우태,기타법인,110111-6029387,676-87-00400,"서울특별시 강남구 논현로 417 2층 (역삼동, 화원빌딩)", ,,그 외 기타 달리 분류되지 않은 개인 서비스업,2016-04-12,12월
주식회사 센트럴세종,CENTRALSEJONG,센트럴세종, ,이정희,기타법인,150111-0285523,392-86-01635,충청북도 청주시 상당구 사직대로361번길 158-10 3층 (북문로3가), ,,예식장업,2020-04-09,05월
셀트리온에스티,Celltrion ST Inc.,셀트리온에스티, ,권기성,기타법인,110111-1995731,105-86-13575,인천광역시 연수구 아카데미로51번길 19 (송도동) 5층,www.celltrionst.com,,컴퓨터 및 주변 기기 수리업,2000-06-15,12월
주식회사 소노스테이션,"daemyung Station Co., Ltd",소노스테이션, ,최성훈,기타법인,110111-4488816,220-88-09321,"강원특별자치도 홍천군 서면 한치골길 262 (팔봉리, 대명비발디파크)",www.daemyunglifeway.com,,장례식장 및 장의관련 서비스업,2010-12-09,12월
소닉모터스(주),SONIC MOTORS,소닉모터스, ,"박승원, 한인환",기타법인,110111-6109915,441-87-00411,서울특별시 강남구 양재천로 175 (도곡동) 소닉모터스, ,,자동차 전문 수리업,2016-07-04,12월
