회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
주식회사 가평개발,GAPYEONG DEVELOPMENT,가평개발, ,김길수,기타법인,115511-0000481,132-81-04369,경기도 가평군 상면 율길리 476, ,,골프장 운영업,1989-04-04,12월
주식회사 감지원,GAM JI ONE Inc.,감지원, ,홍서안,기타법인,110111-8735859,141-88-02928,서울특별시 광진구 강변북로 2234 (자양동) 서운겸지, ,,그 외 기타 스포츠시설 운영업,2023-10-01,12월
강남300컨트리클럽 주식회사,"Jain Tour Co., Ltd.",강남300컨트리클럽, ,정상교,기타법인,134211-0003117,126-81-08429,경기도 광주시 새말길 353 (목동),www.kn300.com,,골프장 운영업,1990-07-01,12월
주식회사 강남스포렉스,Gang Nam Sporex,강남스포렉스, ,김병규,기타법인,284411-0077543,231-81-05587,경기도 포천시 소흘읍 솔모루로 124-18 (송우리)주식회사 강남스포렉스, ,,종합 스포츠시설 운영업,2014-06-19,12월
(주)강변스포렉스,KANG BYUN,강변스포렉스, ,강응서,기타법인,110111-0730196,109-81-46054,서울특별시 강서구 염창동 산27-10번지,없음,,종합 스포츠시설 운영업,1996-03-01,12월
(주)강원랜드,"Kangwon Land, Inc.",강원랜드,035250,최철규,유가증권시장,144911-0001666,225-81-10770,강원도 정선군 사북읍 하이원길 265 강원랜드,kangwonland.high1.com ,http://kangwonland.high1.com,기타 사행시설 관리 및 운영업,1998-06-29,12월
강원레저개발(주),"KANGWON LEISURE CO.,LTD",강원레저개발, ,이동우,기타법인,110111-0236508,224-81-04009,강원도 원주시 소초면 바우실길 281 (수암리) 강원레저개발,www.parkvalley.co.kr,,골프장 운영업,1978-08-16,12월
강원특별자치도민프로축구단,GANGWON FOOTBALL CLUB,강원특별자치도민프로축구단, ,김병지,기타법인,140111-0036564,221-81-31526,강원도 강릉시 남부로 222 (노암동),www.gangwon-fc.com,,스포츠 클럽 운영업,2008-07-23,12월
(주)강진베이스볼파크,gangjin baseball park,강진베이스볼파크, ,우수창,기타법인,110111-3701227,211-87-98600,전라남도 강진군 도암면 학장리 83-9,www.gjbp.co.kr,,스포츠 및 오락관련 서비스업,2007-06-20,12월
(주)강촌레일파크,"Gangchon Railpark Co.,Ltd.",강촌레일파크, ,김찬용,기타법인,140111-0046810,221-81-38586,강원도 춘천시 신동면 김유정로 1383 (증리),www.railpark.co.kr,,그 외 기타 분류 안된 오락관련 서비스업,2011-10-04,12월
(주)강호개발,Ganho Development Co.,강호개발, ,금경화,기타법인,120111-0315772,137-81-59215,인천광역시 강화군 길상면 해안남로 392 (선두리), ,,골프장 운영업,2003-04-16,12월
주식회사 강화바이오골프리조트,"Kang hwa bio golf resort Co., Ltd.",강화바이오골프리조트, ,김춘란,기타법인,120111-0406331,137-81-75438,인천광역시 강화군 강화읍 관청리 175-15 청담빌딩 701호, ,,골프장 운영업,2006-06-20,12월
(주)갤럭시스포츠,galaxy sports,갤럭시스포츠, ,박남주,기타법인,206211-0037082,417-81-36516,"전라남도 여수시 주삼덕양로 78 (화장동, (주)갤럭시스포츠)", ,,골프장 운영업,2008-07-24,12월
(주)갤럭시아 에스엠,"Galaxia SM, INC.",갤럭시아에스엠,011420,이반석,유가증권시장,130111-0008771,134-81-02367,서울특별시 강남구  학동로 311 미성빌딩 7층,galaxiasme.com,,스포츠 서비스업,1975-05-06,12월
(주)갤럭시코퍼레이션,"Galaxy Corporation. Co., Ltd..",갤럭시코퍼레이션, ,최용호,기타법인,110111-7198694,781-86-01607,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터), 53층 5350호",www.galaxyuniverse.ai,,그 외 기타 창작 및 예술관련 서비스업,2019-08-09,12월
주식회사 거성광명,"Geoseong Gwangmyeong Co., Ltd",거성광명, ,최진혁,기타법인,134911-0139774,202-86-03344,"경기도 광명시 하안로 289 (하안동, 태홍빌딩) 에이동 1층", ,,전자 게임장 운영업,2024-11-25,12월
주식회사 거성마곡,"Geoseong Magok Co., Ltd",거성마곡, ,최진혁,기타법인,110111-9108584,146-86-03836,"서울특별시 강서구 강서로 385 (마곡동, 우성에스비타워) 116호, 119호", ,,전자 게임장 운영업,2024-11-19,12월
주식회사 거성아케이드,"Geoseong Arcade Co., Ltd",거성아케이드, ,최진혁,기타법인,110111-8812904,333-88-02982,"서울특별시 영등포구 영중로4길 9 (영등포동3가, WD스퀘어) 101호", ,,전자 게임장 운영업,2024-03-18,12월
주식회사 거성와와,"Geoseong wawa Co., Ltd",거성와와, ,최진,기타법인,121111-0470228,319-86-03147,"경기도 부천시 원미구 중동로254번길 53 (중동, 세종프라자) 1층 101호", ,,전자 게임장 운영업,2024-07-16,12월
(주)거제씨월드,"Geoje Sea World Co.,Ltd.",거제씨월드, ,림치용,기타법인,180111-0772243,617-81-93252,경상남도 거제시 일운면 지세포해안로 15 (소동리),www.geojeseaworld.com,,식물원 및 동물원 운영업,2011-08-25,12월
(주)건강나라,"HELTH CUNTRY CO.,LTD",건강나라, ,이병주,기타법인,205711-0007367,411-81-37201,전라남도 무안군 무안읍 성동리 846-1, ,,골프장 운영업,2004-01-01,12월
(주)건민,GUN MIN,건민, ,이동진,기타법인,170111-0187048,504-81-37750,대구광역시 수성구 달구벌대로 3188 (신매동), ,,종합 스포츠시설 운영업,2000-12-19,12월
주식회사 건하,GEON HA,건하, ,박성호,기타법인,220111-0058149,616-81-58650,"제주특별자치도 제주시 탑동로 47 (삼도이동, 제주오리엔탈호텔)", ,,기타 사행시설 관리 및 운영업,2006-12-01,12월
주식회사 건훈,"Gunhun co., ltd",건훈, ,강용준,기타법인,110111-2895732,104-81-84714,경기도 안양시 동안구 호계동 1040-1 NC백화점 12층, ,,체력단련시설 운영업,2003-11-13,12월
(주)경,"KYUNG CO.,LTD.",경, ,송영주,기타법인,180111-0471754,617-81-49663,경상남도 김해시 구산동 635-2, ,,그 외 기타 스포츠시설 운영업,2003-12-31,12월
경기관광개발 주식회사,"KYONGKI TOURIST DEP. CO., LTD.",경기관광개발, ,김대웅,기타법인,110111-3348839,120-86-89531,경기도 광주시 곤지암읍 오향길 180 (오향리),https://logebiengc.com,,골프장 운영업,2005-11-25,12월
주식회사 경남도민프로축구단,gyeongnam football.club,경남도민프로축구단, ,지현철,기타법인,194211-0074534,609-81-69085,경상남도 창원시 성산구 비음로 97 주경기장 1층 경남FC 사무국,www.gsndfc.co.kr,,스포츠 클럽 운영업,2005-07-14,12월
주식회사 경북관광개발공사,kyungbuk Tourism Development Corporation,경북관광개발공사, ,권순,기타법인,171211-0000346,505-81-00635,경상북도 경주시 신평동 375, ,,사적지 관리 운영업,1975-07-29,12월
경산개발주식회사,Kyungsan Development,경산개발, ,우승수,기타법인,174811-0000200,515-81-00248,"경상북도 경산시 진량읍 일연로 718-42 (선화리, 대구컨트리클럽)",dgcc.co.kr,,골프장 운영업,1971-06-11,12월
경안레저산업(주),"KYUNG AN  Leisure Industry Co.,Ltd",경안레저산업, ,홍수영,기타법인,134811-0011768,124-81-35861,경기도 화성시 팔탄면 월문리 산235-30, ,,유원지 및 테마파크 운영업,1988-06-15,12월
주식회사 경암,Kyung am,경암, ,김기만,기타법인,281111-0075851,128-81-91773,경기도 양주시 칠봉산로332번길 97-1 (봉양동), ,,골프장 운영업,2004-02-20,12월
경원개발(주),kyungwon development co,경원개발, ,조성태,기타법인,184511-0004727,621-81-14504,부산광역시 기장군 정관읍 병산2로 265 (병산리),www.haeundaecc.com,,골프장 운영업,1992-07-01,05월
경원건설주식회사,"kyungWonConstruction Co., ltd.",경원건설, ,정철승,기타법인,131111-0000164,129-81-00028,경기도 성남시 분당구 안양판교로1201번길 161 (백현동),www.nscc.co.kr,,골프장 운영업,1954-12-30,12월
주식회사 경원실업,Kyung Won company limited,경원실업, ,홍승우,기타법인,150111-0079512,301-81-74855,충청북도 청주시 상당구 미원면 대신2길 31, ,,골프장 운영업,2004-04-02,12월
(주)경주버드파크,kyung bird park co ltd,경주버드파크, ,황성춘,기타법인,171211-0069300,505-81-69880,경상북도 경주시 보문로 4-71 185-1(북군동), ,,공연시설 운영업,2012-06-30,12월
경주보문타워 주식회사,"Gyeongju Bomun Tower CO., LTD.",경주보문타워, ,이상헌,기타법인,171211-0128247,570-87-02468,"경상북도 경주시 경감로 587-18 302호(천군동, 경주스마트미디어센터)", ,,그 외 기타 오락관련 서비스업,2022-03-18,12월
(주)경주신라컨트리클럽,gyeongju silla country club corporation,경주신라컨트리클럽, ,박태일,기타법인,171211-0026326,505-81-29480,경상북도 경주시 보문로 319 (신평동),www.sillacc.co.kr,,골프장 운영업,2001-04-17,12월
경주월드 주식회사,"GyeongjuWorld Co.,Ltd",경주월드, ,"정원기, 함영관",기타법인,110111-2676752,220-86-53968,"서울특별시 강남구 논현로 430 (역삼동, 아세아타워빌딩)",www.gjw.co.kr,,유원지 및 테마파크 운영업,2002-12-20,12월
주식회사  경주타워랜드,"GYEONGJU TOWERLAND CO.,LTD",경주타워랜드, ,김경선,기타법인,171211-0021780,505-81-24660,대구광역시 수성구 범어동 13-1 협성빌딩 4층,www.towerland21.com,,그 외 기타 분류 안된 오락관련 서비스업,1999-11-08,12월
주식회사 경포아쿠아리움,"Gyeong Po Aquarium Co., Ltd.",경포아쿠아리움, ,남양,기타법인,141111-0043146,226-81-47775,강원도 강릉시 난설헌로 131 (초당동),gg-aqua.com,,식물원 및 동물원 운영업,2013-05-21,12월
계룡레저산업주식회사,KYERYONG Leisure Industrial Co. Ltd,계룡레저산업, ,호충환,기타법인,160111-0114374,314-81-40443,대전광역시 중구 사정동 34번지,www.zooland.net,,유원지 및 테마파크 운영업,2002-03-22,12월
고령컨트리클럽 주식회사,GORYEONG C.C,고령컨트리클럽, ,박선자,기타법인,170111-0204123,514-81-41848,경상북도 고령군 고령읍 내곡리 1085-2, ,,골프장 운영업,2001-08-31,12월
(주)고성관광개발,"GOSEONG NOBEL CO.,LTD",고성관광개발, ,"박광환, 최경훈",기타법인,180111-0530104,617-81-57649,"부산광역시 남구 자성로 152 (문현동, 한일오피스텔)",-,,골프장 운영업,2005-08-31,12월
(주)고암개발,GOAM Development,고암개발, ,노승현,기타법인,230111-0114254,610-81-77872,울산광역시 울주군 서생면 명산리 130, ,,골프장 운영업,2005-07-15,12월
고양컨트리클럽(주),goyang country club,고양컨트리클럽, ,이일준,기타법인,285011-0156948,128-86-37866,경기도 고양시 덕양구 흥도로 304-23 (도내동), ,,골프장 운영업,2009-03-25,12월
주식회사 고은컨트리클럽,goeuncc,고은컨트리클럽, ,허석출,기타법인,110111-1369978,210-81-55907,경상북도 안동시 풍천면 풍일로 1572 (어담리),goeuncc.com/,,골프장 운영업,2005-08-18,12월
주식회사 곤지암레저,"Konjiam Leisure CO., Ltd.",곤지암레저, ,이규홍,기타법인,134211-0048325,126-81-58860,경기도 광주시 도척면 도웅리 산 41,@kcc.lg.co.kr,,골프장 운영업,2002-01-01,12월
(주)골드뱅크 클리커스,goldbankclickers.ltd,골드뱅크클리커스, ,이형석,기타법인,110111-1779177,201-81-25689,서울특별시 중구 초동 106-9 골드타워 7증, ,,스포츠 클럽 운영업,1999-11-15,05월
주식회사골드샤인,GOLD SHINE,골드샤인, ,김옥삼,기타법인,180111-1401429,301-87-02222,경상남도 양산시 물금읍 서들로 134 (가촌리)2층, ,,골프연습장 운영업,2021-11-23,12월
(주)골드시코리아인베스트먼트,"Goldsea Korea Investment Co.,Ltd.",골드시코리아인베스트먼트, ,림치용,기타법인,180111-0869115,617-86-09797,"경상남도 거제시 일운면 지세포해안로 15 (소동리, 거제씨월드)", ,,식물원 및 동물원 운영업,2013-07-11,12월
(주)골드힐,GOLDHILL,골드힐, ,이휘복,기타법인,161511-0084297,312-81-86633,"충청남도 천안시 서북구 입장면 기로3길 162 (기로리, 골드힐골프연습장)", ,,골프장 및 스키장 운영업,2006-11-14,12월
(주)골든블루마리나,goldenblue marina,골든블루마리나, ,김영진,기타법인,110111-2513699,105-86-39366,부산광역시 강서구 가덕해안로 1229 (대항동),yonsi1784@naver.com,,기타 수상오락 서비스업,2002-05-02,12월
(주)골든쌔들,Golden Inc.,골든쌔들, ,장세준,기타법인,110111-4308709,220-87-97911,경기도 양평군 용문면 경강로 2960 (다문리), ,,그 외 기타 스포츠시설 운영업,2010-03-19,12월
주식회사 골든이엔씨,"Golden E&C Co.,Ltd.",골든이엔씨, ,김재현,기타법인,154511-0035794,303-81-48106,충청북도 음성군 금왕읍 대금로 1507 (금석리) 3층, ,,골프장 운영업,2007-04-27,12월
주식회사 골든크라운,"GOLDEN CROWN Co., Ltd",골든크라운, ,안위수,기타법인,171211-0015791,505-81-13353,"대구광역시 수성구 팔현길 212 (만촌동, 호텔인터불고)",www.daegucasino.com,,기타 사행시설 관리 및 운영업,1997-06-18,12월
골든힐골프연습장(주),GOLDENHILL GOLFDRIVING RANGE,골든힐골프연습장, ,홍성섭,기타법인,194211-0088311,609-81-79962,경상남도 창원시 의창구 충혼로 53 (두대동) 골든힐골프연습장(주), ,,스포츠 및 오락관련 서비스업,2007-10-09,12월
주식회사골프이쩜영,GOLF2.0,골프이쩜영, ,조옥구,기타법인,110111-3798076,109-86-11017,서울특별시 강서구 가양동 162-1 스타디움 골프클럽, ,,골프연습장 운영업,2007-12-13,12월
골프존지디알아카데미 주식회사,Golfzon GDR Academy,골프존지디알아카데미, ,박강수,기타법인,110111-7155686,563-88-01454,서울특별시 강남구 도산대로 544 (청담동) 파라곤빌딩 6층, ,,골프연습장 운영업,2019-07-01,12월
(주)골프존카운티,"Golfzon County Co., Ltd",골프존카운티, ,서상현,기타법인,110111-6615748,530-87-01006,"대전광역시 유성구 엑스포로97번길 40 (도룡동, 골프존대전사옥) 6층",www.golfzoncounty.com/,,골프장 운영업,2018-01-02,12월
(주)골프존카운티매니지먼트,"Golfzon County Management Co., Ltd",골프존카운티매니지먼트, ,박세하,기타법인,110111-5256113,261-81-02636,"대전광역시 유성구 엑스포로97번길 40 (도룡동, 골프존대전사옥) 5층", ,,골프장 운영업,2013-10-29,12월
(주)골프존카운티선운,"Golfzon County Sunwoon co.,Ltd",골프존카운티선운, ,서상현,기타법인,214611-0003035,404-81-19277,"전라북도 고창군 아산면 운곡로 418 (용계리, 골프존카운티선운)",www.golfzoncounty.com,,골프장 운영업,2005-02-04,12월
(주)골프존카운티자산관리,Golfzon County Asset Management Co. Ltd.,골프존카운티자산관리, ,최덕형,기타법인,110111-3375486,120-86-91696,서울특별시 강남구 영동대로 735 골프존타워서울 11층 (청담동), ,,골프장 운영업,2006-01-06,12월
골프클럽큐레저산업 주식회사,"Golfclubq leisure industry CO., LTD",골프클럽큐레저산업, ,전상필,기타법인,110111-3316761,120-86-87945,경기도 안성시 죽산면 장계길 20-229 1층, ,,골프장 운영업,2005-10-10,12월
(주)공정관광,"KONG JUNG TOURIST CO., LTD",공정관광, ,국정주,기타법인,110111-0826911,616-81-16378,제주특별자치도 제주시 용담1동 159-1, ,,기타 사행시설 관리 및 운영업,1992-01-06,12월
공주개발(주),GONGJU DEVELOPMENT.CO.LTD,공주개발, ,임춘규,기타법인,110111-0717590,307-81-03305,충청남도 공주시 정안면 방자들길 81-50 (인풍리),www.princessgc.co.kr,,골프장 운영업,1990-08-20,12월
관성개발주식회사,"GWANSUNG DEVELOPMENT CO., LTD",관성개발, ,이강명,기타법인,160111-0285779,305-86-07237,"대전광역시 서구 둔산중로134번길 13 1901호(둔산동, 토요코인호텔)", ,,골프장 운영업,2010-09-14,12월
주식회사 관악,"gwanak co.,Ltd",관악, ,이진철,기타법인,134811-0056756,124-81-80503,"경기도 화성시 동탄면 중리길 183 (오산리, 리베라CC클럽하우스)",www.shinan.co.kr,,골프장 운영업,2001-01-17,12월
(주)광령리조트,"GWANGRYOUNG RESORT CO., LTD",광령리조트, ,고정배,기타법인,220111-0044015,616-81-44442,제주특별자치도 제주시 노형동 1295-11 유성빌딩 2층,없음,,골프장 운영업,2003-07-11,12월
광릉레저개발(주),KwangNeungCC,광릉레저개발, ,이태섭,기타법인,115211-0008851,132-81-04073,경기도 남양주시 진접읍 팔야로 280 번지, ,,골프장 운영업,1989-04-07,12월
광산관광개발주식회사,"Gwang San Tourism Cultivation Co.,Ltd.",광산관광개발, ,추연익,기타법인,210111-0007700,407-81-01155,"전라북도 임실군 신덕면 수지로 559-90 (지장리, 전주샹그릴라컨트리클럽(골프장))", ,,골프장 운영업,1991-09-01,09월
주식회사 광양900,-,광양900, ,반재경,기타법인,204611-0030915,416-81-69824,전라남도 광양시 광영동 730-9,-,,골프장 운영업,2009-12-07,12월
광주관광개발 주식회사,"KWANGJU TOURISM DEVELOPMENT CO.,LTD",광주관광개발, ,고제철,기타법인,200111-0003552,408-81-03379,전라남도 곡성군 옥과면 입면로 455 광주관광개발(주),없음,,골프장 운영업,1981-10-08,12월
주식회사 광주시민프로축구단,Gwangju Football Club,광주시민프로축구단, ,노동일,기타법인,200111-0298393,410-86-39517,"광주광역시 서구 금화로 240 (풍암동, 월드컵경기장 내)", ,,스포츠 클럽 운영업,2010-05-26,12월
광주투자개발주식회사,Gwangju Investment & Development Inc.,광주투자개발, ,김성완,기타법인,134211-0099310,126-86-17433,"경기도 광주시 곤지암읍 신대길 8 (신대리, 곤지암비즈니스센터) 507호",www.akdjbcc.co.kr,,골프장 운영업,2008-12-24,12월
(주)교원투어,"kyowontour co.,LTD",교원투어, ,장동하,기타법인,110111-1795975,104-81-48192,"서울특별시 종로구 청계천로 51-1 (관철동, 교원투어빌딩)",www.kyowontour.com,,"도서관, 사적지 및 유사 여가관련 서비스업",1999-10-25,12월
주식회사 구갈스포츠센타,"GUGAL SPORTS CENTER CO., LTD",구갈스포츠센타, ,윤영태,기타법인,134511-0063111,135-81-56298,경기도 용인시 기흥읍 구갈리351, ,,체력단련시설 운영업,2002-07-30,12월
주식회사 구봉산골프클럽,Gubongsan Golf Club,구봉산골프클럽, ,신승남,기타법인,131111-0340932,144-81-12542,경기도 화성시 병점중앙로22번길 7-25 능동, ,,골프연습장 운영업,2013-04-19,12월
(주)구평골프클럽,gupyeonggolfclub,구평골프클럽, ,조성대,기타법인,176011-0082921,513-81-76140,경상북도 구미시 인동36길 71 (구평동), ,,골프연습장 운영업,2013-06-10,12월
주식회사 구학파크랜드,Guhak Parkland CO LTD.,구학파크랜드, ,신학명,기타법인,141211-0039630,224-81-38246,강원특별자치도 원주시 신림면 구학산로 1520 (구학리), ,,골프장 운영업,2007-01-25,12월
군산레져산업(주),KunSan Leisure Inc.,군산레져산업, ,김춘동,기타법인,211111-0016156,401-81-23409,전라북도 군산시 옥서면 남군산로 1911-7 (옥봉리),없음,,골프장 운영업,2003-06-01,12월
군위관광레저개발(주),Gunwi Tourism leisure Development,군위관광레저개발, ,신동열,기타법인,174311-0003874,508-81-19735,경상북도 군위군 군위읍 수서리 산33, ,,골프장 운영업,2006-05-01,12월
주식회사 군위컨트리클럽,"Gunwi Country Club Co., Ltd.",군위컨트리클럽, ,배은선,기타법인,175011-0000586,508-81-21319,"대구광역시 중구 달구벌대로 2209 (삼덕동2가, 동현빌딩) 2층", ,,골프장 운영업,1991-05-31,12월
주식회사 굿네이버,Good Neighbor,굿네이버, ,"조희제, 최한경",기타법인,230111-0329457,514-87-01678,대구광역시 동구 화랑로100길 135 (용계동), ,,골프연습장 운영업,2020-04-09,12월
주식회사 귀뚜라미랜드,Kiturami land,귀뚜라미랜드, ,이의병,기타법인,115711-0000386,127-81-12886,"강원도 철원군 갈말읍 순담길 59 (군탄리, 한탄강골프클럽)",www.hantancc.co.kr,,골프장 운영업,1989-06-09,12월
그랑블제주알앤지(주),"GrandBleu Jeju R&G Co.,Ltd",그랑블제주알앤지, ,"최평석, 홍성진",기타법인,220111-0051888,616-81-51962,제주특별자치도 제주시 한림읍 화전길 82 (금악리), ,,골프장 운영업,2005-05-06,12월
그리심레져개발주식회사,"GERIZIM CO.,LTD",그리심레져개발, ,강석민,기타법인,194611-0004426,613-81-47998,경상남도 남해군 남해읍 북변리 158-30 남해군수협중북지소 2층, ,,스포츠 및 오락관련 서비스업,2008-04-07,12월
그린나래 주식회사,GREEN NARAE.INC,그린나래, ,이정윤,기타법인,161511-0078133,312-81-80930,충청남도 천안시 동남구 목천읍 충절로 1048-68,whcc.kolon.co.kr/,,골프장 운영업,2006-02-13,12월
주식회사 그린필드 ,GREEN FIELD Co.,그린필드, ,신현준,기타법인,134211-0297675,609-86-28191,"경기도 광주시 역동로 5 104호 (역동, 갤러리아플라자)", ,,종합 스포츠시설 운영업,2024-07-05,12월
극동개발주식회사,극동 C.C (gdong country club),극동개발, ,황병관,기타법인,115411-0001075,127-81-11887,경기도 포천군 화현면 810-27, ,,골프장 운영업,1986-07-26,12월
주식회사 극동스포랜드,"Fareast Sports Co., Ltd.",극동스포랜드, ,곽봉금,기타법인,110111-4095108,211-88-27382,경기도 안산시 단원구 초지동로 7 (초지동), ,,스포츠 서비스업,2009-05-14,12월
극동지앤에스(주),FAR EAST GNS,극동지앤에스, ,김동극,기타법인,214911-0001702,403-81-01570,서울특별시 강남구 신사동 575, ,,종합 스포츠시설 운영업,1980-12-17,12월
근영농산주식회사,"GUN YOUNG FARM,.LTC",근영농산, ,이종철,기타법인,110111-0068282,132-81-05295,"경기도 남양주시 화도읍 북한강로 1525-52 (금남리, 양주컨트리클럽)", ,,골프장 운영업,1966-06-11,12월
(주)글라인,"Gleline CO., LTD.",글라인, ,김선영,기타법인,110111-5740645,245-86-00077,서울특별시 용산구 이촌로88길 30 (이촌동) 106동 1401호,www.gleline.com/,,"창작, 예술 및 여가관련 서비스업",2015-06-03,12월
주식회사 금강랜드,"KUMGANG  LAND CO.,LTD",금강랜드, ,김진혁  강기수,기타법인,110111-3343219,220-87-23379,경기도 용인시 기흥구 농서동 38-2,www.ekumganggolfland.com,,그 외 기타 스포츠시설 운영업,2005-11-16,12월
(주)금강레저,KUMGANG LEISURE LTD.,금강레저, ,조종호,기타법인,131211-0001433,126-81-07997,경기도 여주시 가남읍 여주남로 541 금강레저,없음,,골프장 운영업,1989-08-01,12월
금강센테리움 주식회사,Keumkang Centeriumcc,금강센테리움, ,권기억,기타법인,151111-0021009,303-81-35367,충청북도 충주시 노은면 솔고개로 750,www.centeriumcc.com,,골프장 운영업,2003-01-20,12월
주식회사 금곡골프프라자,Geum Gok Golf Plaza Co.,금곡골프프라자, ,이을우,기타법인,180111-0417394,606-81-76272,"부산광역시 북구 금곡대로 479 (금곡동, 금곡골프프라자)", ,,그 외 기타 스포츠시설 운영업,2002-07-29,12월
(주)금당개발,KUMDANG,금당개발, ,소홍서,기타법인,134811-0086026,124-86-12368,경기도 화성시 마도면 고모리 625-2, ,,골프연습장 운영업,2003-08-19,12월
금보개발(주),GEUM BO,금보개발, ,정원석,기타법인,130111-0004422,135-81-08307,경기도 용인시 기흥구 사은로 163 남부컨트리클럽 (보라동),www.namboocc.co.kr,,골프장 운영업,1982-12-30,12월
금실레져산업(주),"Gumsil Leisure Co.,Ltd",금실레져산업, ,정영숙,기타법인,160111-0219413,314-81-87865,대전광역시 유성구 테크노4로 65 (관평동), ,,종합 스포츠시설 운영업,2007-02-12,12월
주식회사 금천레저,"Geumcheon Leisure Co., Ltd",금천레저, ,김상진,기타법인,174911-0017518,371-81-02030,경상북도 청도군 금천면 금천로 709 (갈지리),www.pentaview.co.kr,,골프장 운영업,2020-10-30,12월
주식회사 금호개발,"KUMHO DEVELOPMENT CO.,LTD",금호개발, ,김도윤,기타법인,174711-0017455,505-81-40258,경상북도 영천시 청통면 청통로 334-41 시엘골프클럽,cielgolf.com,,골프장 운영업,2004-09-14,12월
재단법인 금호문화재단,Kumho Cultural Foundation,금호문화재단, ,이원태,기타법인,200122-0000323,408-82-05035,"서울특별시 종로구 삼청로 18 (사간동, 금호미술관)",www.kumhoarts.com,,박물관 운영업,1977-11-29,12월
금화산업개발(주),"KUM HWA HOUSING@INDUSTRIAL DEV.CO.,LTD.",금화산업개발, ,천정우,기타법인,110111-0675079,621-81-00693,부산광역시 금정구 남산동 68-1, ,,그 외 기타 분류 안된 오락관련 서비스업,1990-01-28,12월
기아타이거즈(주),"KIA TIGERS CO.,LTD",기아타이거즈, ,최준영,기타법인,200111-0003883,409-81-02844,광주광역시 북구 서림로 10 (임동),www.kiatigers.co.kr,,스포츠 클럽 운영업,1982-05-29,12월
기안레져 주식회사,KIAN LESUIRE ,기안레져, ,김창곤,기타법인,204411-0005780,408-81-75887,전라남도 곡성군 옥과면 소룡리 427-2, ,,골프장 운영업,2007-04-24,12월
기흥관광개발,Kihung Resort Corp.,기흥관광개발, ,"이용성, 이호섭",기타법인,134511-0002903,135-81-05329,경기도 용인시 기흥구 기흥단지로 398 (고매동), ,,골프장 운영업,1982-08-23,12월
