회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
(주)가장맛있는족발,good jok,가장맛있는족발, ,최종완,기타법인,110111-5320124,113-86-80639,"경기도 성남시 분당구 정자일로 162 702호 (정자동, 젤존타워2)",www.가장맛있는족발.com,,그 외 기타 분류 안된 사업지원 서비스업,2014-01-20,12월
감마정보통신(주),Gamma Info-Communication Cor.,감마정보통신, ,신현정,기타법인,111611-0064750,128-81-83235,경기도 고양시 일산구 일산동 566-1 다우빌딩 4층, ,,사업시설 유지ㆍ관리 서비스업,2003-05-16,12월
감만부두공용관리주식회사,GTMC,감만부두공용관리, ,이준갑외1인,기타법인,180111-0273499,617-81-22626,부산광역시 남구 감만동 624, ,,기타 사무지원 서비스업,1998-12-20,12월
감성테크놀로지 주식회사,"KAMSUNG TechnologyCo.,Ltd",감성테크놀로지, ,주명숙,기타법인,110111-5062247,107-87-88273,서울특별시 영등포구 여의도동 25-15, ,,사업지원 서비스업,2013-02-04,02월
(주)강남가설산업,Gangnam Industry,강남가설산업, ,장시철,기타법인,110111-3870569,114-86-65795,"서울특별시 서초구 논현로 87 1602호 (양재동, 삼호물산빌딩)", ,,건설 및 토목공사용 기계ㆍ장비 임대업,2008-04-03,12월
유한책임회사 강남도전상품권,Gangnam Challenge Gift Certificate Limited Liability Company,강남도전상품권, ,정원준,기타법인,110115-0001923,170-87-02875,"서울특별시 강남구 테헤란로92길 11 (대치동) , 1층 일부",knct.shop/,,그 외 기타 분류 안된 사업지원 서비스업,2025-05-15,12월
주식회사 강남터미널지하쇼핑센터,lee,강남터미널지하쇼핑센터, ,나문찬,기타법인, , ,서울특별시 서초구 반포동 163-1, ,,사업시설 유지ㆍ관리 서비스업,2010-03-17,12월
강변테크노마트주식회사,Gangbyeon Technomart Inc.,강변테크노마트, ,김영남,기타법인,110111-1489057,207-81-50677,"서울특별시 광진구 광나루로56길 85 (구의동, 테크노마트) 사무동 12층", ,,사업시설 유지ㆍ관리 서비스업,1997-12-01,12월
강북도시가스서비스(주),"GANGBUK CITY GAS SERVICE CO,LTD.",강북도시가스서비스, ,이은성,기타법인,110111-3742221,110-81-79690,서울특별시 은평구 증산서길 64-8 (증산동), ,,사업시설 유지ㆍ관리 서비스업,2007-08-24,12월
강서도시가스(주),GANGSEO CITY GAS,강서도시가스, ,윤재훈,기타법인,110111-4066175,109-86-17059,서울특별시 강서구 곰달래로 211, ,,사업시설 유지ㆍ관리 서비스업,2009-03-24,12월
강원남부주민주식회사,"KANGWON NAMBU JUMIN CO.,LTD.",강원남부주민, ,송재범,기타법인,144911-0002573,225-81-12399,강원도 정선군 고한읍 고한로 40,www.iknj.co.kr,,건축물 일반 청소업,2000-08-09,12월
(주)강원오에스,Gangwon OS,강원오에스, ,변상필,기타법인,144911-0006559,225-81-17623,"서울특별시 중구 청계천로 100 (수표동, 시그니쳐타워)", ,,임시 및 일용 인력 공급업,2006-03-06,12월
(주)강일기업,KANG IL Security,강일기업, ,최원순,기타법인,110111-1594062,211-86-46575,서울특별시 강남구 학동로34길 6 201호(논현동), ,,건축물 일반 청소업,1998-10-20,12월
갤럭시아에프엔(주),"Galaxia FN Co.,Ltd.",갤럭시아에프엔, ,신동훈,기타법인,110111-0928273,685-87-03624,"서울특별시 강남구 광평로 281 (수서동, 수서빌딩) 12층 1503호", ,,기타 산업용 기계 및 장비 임대업,2025-06-09,12월
거륜씨앤씨주식회사,KeoRyun C&C,거륜씨앤씨, ,유병국,기타법인,110111-2524505,201-81-73750,서울특별시 중구 명동1가 10-1, ,,그 외 기타 분류 안된 사업지원 서비스업,2002-05-16,12월
거북선2호 선박투자회사,Turtleship No.2 Ship Investment Company,거북선2호선박투자회사,101380,신주선,기타법인,180111-0602151,602-81-44346,부산광역시 영도구 남항동3가 141-165,-,,기타 운송장비 임대업,2007-07-31,12월
거북선3호 선박투자회사,Turtleship No.3 Ship Investment Company,거북선3호선박투자회사,102000,신주선,기타법인,180111-0602094,602-81-44332,부산광역시 영도구 남항동3가 141-165,-,,기타 운송장비 임대업,2007-07-31,12월
거북선4호선박투자회사,Turtleship No.4 Ship Investment Company,거북선4호선박투자회사,108890,신주선,기타법인,220111-0068122,616-81-68973,제주특별자치도 제주시 이도2동 390 제주도중소기업종합지원센터관리사무처,-,,기타 운송장비 임대업,2008-11-25,12월
거북선5호선박투자회사,Turtleship No.5 Ship Investment Company,거북선5호선박투자회사,114130,김연신,기타법인,220111-0070979,616-81-72216,"제주특별자치도 제주시 연삼로 473 (이도이동, 중소기업종합지원센터관리사무처)",-,,기타 운송장비 임대업,2009-06-22,12월
거북선6호선박투자회사,Turtleship No. 6 Ship Investment Company,거북선6호선박투자회사,114140,김연신,기타법인,220111-0070995,616-81-72201,"제주특별자치도 제주시 연삼로 473 (이도이동, 중소기업종합지원센터관리사무처)",-,,기타 운송장비 임대업,2009-06-22,12월
거북선7호선박투자회사,Turtleship No. 7 Ship Investment Company,거북선7호선박투자회사,134000,김연신,기타법인,180111-0727131,606-86-24949,부산광역시 사상구 사상로 461 (모라동),http://www.komarf.com,,기타 운송장비 임대업,2010-08-18,12월
거산종합관리 주식회사,"Geosan General Management Co., Ltd",거산종합관리, ,이대경,기타법인,161511-0121594,312-86-20261,충청남도 천안시 동남구 신방통정로 60-19 (신방동), ,,건축물 일반 청소업,2010-09-10,12월
주식회사 거상개발,"GEOSANG DEVELOPMENT CO., LTD. ",거상개발, ,이석준,기타법인,200111-0356456,410-86-68588,광주광역시 광산구 사암로 209 ,www.wm.co.kr,,기타 사무지원 서비스업,2012-12-12,12월
(주)거성지엠에스,"GeoSungGMS CO.,LTD.",거성지엠에스, ,양봉조,기타법인,170111-0044363,502-81-20438,대구광역시 동구 효목로 13 (효목동),www.geo-sung.co.kr,,사업시설 유지ㆍ관리 서비스업,1990-06-01,12월
(주)건우해양,gun woo marine,건우해양, ,안건표,기타법인,180111-0479823,602-81-32495,부산광역시 사하구 감천항로405번길 101 (구평동), ,,기타 운송장비 임대업,2004-03-23,12월
주식회사 건은,kun eun,건은, ,"권건춘, 이은희",기타법인,110111-1642887,107-81-66700,"서울특별시 영등포구 여의대방로 379 909호(여의도동, 제일빌딩)",www.kuneun.co.kr,,사업시설 유지ㆍ관리 서비스업,1999-02-01,12월
주식회사 게임엑스포,"GameExpo Co., Ltd.",게임엑스포, ,류지열,기타법인,110111-1801889,107-81-72600,서울특별시 중구 신당2동 422-1 청화빌딩305호,www.gameexpo.co.kr,,"전시, 컨벤션 및 행사 대행업",1999-11-03,12월
경기김포교육주식회사,gyoung gi gimpo kyo yuk .co,경기김포교육, ,신기범,기타법인,110111-4810093,114-86-94214,"서울특별시 서초구 사평대로84(반포동, 이수화학빌딩)", ,,사업시설 유지ㆍ관리 서비스업,2012-03-02,12월
경기남부학교관리(주),kyungginambuhakgyo,경기남부학교관리, ,윤도열,기타법인,134511-0126589,142-81-13773,"경기도 수원시 영통구 에듀타운로 17 (이의동, 국제프라자)", ,,사업시설 유지ㆍ관리 서비스업,2009-05-21,12월
경기도시가스(주),Kyeong gi City Gas ,경기도시가스, ,윤철중,기타법인,285011-0153283,128-86-35780,경기도 고양시 일산서구 일중로 72 동해빌딩 4층, ,,사업시설 유지ㆍ관리 서비스업,2009-01-01,12월
경기미래학교관리(주),kyunggihakkukoanri,경기미래학교관리, ,이동,기타법인,110111-3671884,214-88-08216,경기도 용인시 기흥구 언남동 215-8, ,,사업시설 유지ㆍ관리 서비스업,2009-05-03,12월
경기미래학당관리(주),kyunggimihakdangkoanri,경기미래학당관리, ,김용수,기타법인,110111-3741679,214-88-14187,"경기도 시흥시 승지로60번길 20 (능곡동, 명프라자) 402-1호", ,,사업시설 유지ㆍ관리 서비스업,2007-08-24,12월
경기청출람미래학교주식회사,gyoungkicheongchulram,경기청출람미래학교, ,임호순,기타법인,110111-8486650,668-86-02735,"경기도 수원시 장안구 연무로 53 2층, (연무동, 한동빌딩)", ,,사업시설 유지ㆍ관리 서비스업,2023-01-17,12월
경기평택항만공사,Gyeonggi Pyeongtaek Port Corporation,경기평택항만공사, ,김석구,기타법인,131371-0001477,125-82-06390,경기도 평택시 포승읍 평택항만길 73 (만호리) 평택항마린센터 10층,www.gppc.or.kr,,기타 사업지원 서비스업,2001-07-16,12월
경남공영 주식회사,"Kyeongnam Kong yeong Co., Ltd",경남공영, ,김석진,기타법인,180111-0468933,617-81-49339,경상남도 밀양시 삼랑진읍 미전리 624-1, ,,산업용 기계 및 장비 임대업,2003-12-02,12월
경남학교사랑(주),"kyungnam hakkyo sarang co.,ltd",경남학교사랑, ,황영돈,기타법인,170111-0316100,502-81-87079,"경상남도 창원시 마산합포구 해안대로 273 (신포동1가, 송민빌딩) 3층", ,,사업시설 유지ㆍ관리 서비스업,2006-09-01,12월
(주)경동기업,"Kyungdong Enterprise Co., Ltd.",경동기업, ,구서율,기타법인,180111-0549543,621-81-66429,부산광역시 금정구 남산로 2, ,,고용알선 및 인력공급업,2006-04-01,12월
경마진흥 주식회사,kyoung ma jin hung,경마진흥, ,이강일,기타법인,110111-0564686,229-81-10656,"경기도 시흥시 마유로 415 (정왕동, 역전프라자)", ,,사업시설 유지ㆍ관리 서비스업,1988-03-09,12월
(주)경복궁웨딩컨벤션, ,경복궁웨딩컨벤션, ,김은구,기타법인,200111-0158357,410-81-73539,광주광역시 서구 광천동 562-14, ,,그 외 기타 분류 안된 사업지원 서비스업,2002-06-26,12월
경북교육개발주식회사,"Gyoungbook kyoyook gaebal co.,Ltd.",경북교육개발, ,정숙인,기타법인,170111-0336116,502-81-91699,대구광역시 북구 유통단지로8길 120-11 (산격동), ,,사업시설 유지ㆍ관리 서비스업,2007-07-04,12월
경북교육관리 주식회사,"Gyeongbuk Education Management Co., Ltd",경북교육관리, ,김경회,기타법인,120111-0497421,131-86-14200,인천광역시 연수구 송도동 3-1 밀레니엄상가 807, ,,사업시설 유지ㆍ관리 서비스업,2009-05-27,12월
경북교육발전주식회사,"Gyoungbook kyoyook baljun co.,Ltd.",경북교육발전, ,정숙인,기타법인,170111-0336033,502-81-91705,대구광역시 북구 유통단지로8길 120-11 (산격동), ,,사업시설 유지ㆍ관리 서비스업,2007-07-04,12월
경북그린스마트스쿨 주식회사,"Gyeongbukgreensmartschool Co.,Ltd",경북그린스마트스쿨, ,노주훈,기타법인,170111-0888505,817-87-02708,"대구광역시 남구 현충로 105 (대명동, 3층)", ,,사업시설 유지ㆍ관리 서비스업,2022-11-25,12월
경북그린에너지센터(주),Gyongbuk Green Energy,경북그린에너지센터, ,박성만,기타법인,110111-5438422,101-86-90570,"서울특별시 종로구 종로 33 (청진동, 그랑서울)", ,,사업시설 유지ㆍ관리 서비스업,2014-06-16,12월
경북에코에듀주식회사,GYEONGBUKECOEDU CORPORATION,경북에코에듀, ,김성호,기타법인,110111-4537465,104-86-33452,"대구광역시 동구 동대구로 489 16층 (신천동, 대구무역회관)", ,,사업시설 유지ㆍ관리 서비스업,2011-02-17,12월
주식회사 경암,Kyung Am Corp.,경암, ,김기정,기타법인,285011-0478475,234-88-02195,"경기도 고양시 일산동구 호수로 646-24 (장항동, 위너스21II), 305호", ,,경비 및 경호 서비스업,2021-07-01,12월
주식회사 경연전람,KYUNGYON EXHIBITION CORPORATION,경연전람, ,김영수,기타법인,110111-0565527,116-81-22007,"서울특별시 영등포구 국회대로 750 (여의도동, 금산빌딩)", ,,콜센터 및 텔레마케팅 서비스업,1988-03-20,12월
경우이천원주개발주식회사,"Kyungwooihchon Co,ltd.",경우이천원주개발, ,임선현,기타법인,141211-0128243,699-88-02320,"강원도 원주시 문막읍 원문로 1386-39 101동 602호(문현동,문현범양레우스)", ,,사업시설 유지ㆍ관리 서비스업,2023-01-24,12월
경원문화(주),Kyung Won Mun Hwa co.,경원문화, ,박형훈,기타법인,110111-0539100,214-81-90245,광주광역시 광산구 첨단중앙로 164 (쌍암동), ,,사업시설 관리 및 조경 서비스업,1987-08-10,12월
경원산업관리(주),kyung won management co.ltd,경원산업관리, ,허증,기타법인,110111-0414550,214-81-15585,"서울특별시 동작구 보라매로5길 51 (신대방동, 롯데타워) 4층",www.kw-group.co.kr,,사업시설 유지ㆍ관리 서비스업,1986-01-08,12월
경원씨에스(주),"GYEONGONE CS CO., Ltd.",경원씨에스, ,김경남,기타법인,131311-0275474,339-88-02471,"경기도 평택시 고덕국제대로 5 603호 (고덕동, 고덕헤리움비즈타워1차)", ,,"산업설비, 운송장비 및 공공장소 청소업",2022-02-08,12월
주식회사 경일씨앤에스,"Gyeongil Cns Co., Ltd.",경일씨앤에스, ,변형석,기타법인,194211-0044735,609-81-45384,"경상남도 창원시 성산구 중앙대로 263 (용호동, 오피스프라자) 401호", ,,경비 및 경호 서비스업,2001-01-01,12월
주식회사 경일알씨,KYUNGIL,경일알씨, ,조영석,기타법인,110111-4515271,212-81-94003,서울특별시 강동구 선사로 52 (천호동), ,,자동차 임대업,2011-02-09,12월
(주)경주환경에너지,"Gyeongju environment energe Co,.Ltd",경주환경에너지, ,김원철,기타법인,110111-4088913,211-88-26326,경상북도 경주시 경감로 466-246 (천군동), ,,사업시설 유지ㆍ관리 서비스업,2009-05-01,12월
주식회사 경진이앤지,"Gyeong Jin Eng Co.,Ltd.",경진이앤지, ,안윤미,기타법인,110111-2834269,206-81-83966,"경기도 광명시 오리로854번길 16-7 (철산동, 승화빌딩) 3층", ,,경비 및 경호 서비스업,2008-08-10,12월
(주)경포,"GYEONG PO MANAGEMENT CO.,LTD.",경포, ,"김동율, 조기종",기타법인,171211-0007871,505-81-07619,경상북도 경주시 유림로 53-8 경포빌딩5층,www.kyongpo.co.kr,,그 외 기타 분류 안된 사업지원 서비스업,1993-11-30,12월
(주)경향하우징,"KYUNG HYANG HOUSING.Co.,Ltd",경향하우징, ,구운회,기타법인,110111-2050550,104-81-56106,서울특별시 중구 정동 경향신문사 빌딩 12층,www.ehousingfair.com,,"전시, 컨벤션 및 행사 대행업",2000-08-17,12월
경호학사(주),"KYUNGHOHAKSA CO.,LTD",경호학사, ,김춘근,기타법인,110111-3841354,101-86-37973,서울특별시 종로구 신문로1가 금호아시아나본관, ,,사업시설 유지ㆍ관리 서비스업,2008-02-15,12월
주식회사 고고컴퍼니,GOGOCOMPANY,고고컴퍼니, ,최종완,기타법인,280211-0237658,490-87-02712,경기도 의정부시 호국로1310번길 40 (의정부동),www.gogocompany.kr/,,그 외 기타 분류 안된 사업지원 서비스업,2023-05-11,12월
고래문화재단,uwcf,고래문화재단, ,서동욱,기타법인,230171-0005415,610-82-71915,울산광역시 남구 장생포고래로288번길 20 새운파래스 1동 202호, ,,"전시, 컨벤션 및 행사 대행업",2012-03-07,12월
고려신용정보(주),"KORYO CREDIT INFORMATION CO.,LTD.",고려신용정보,049720,윤태훈,코스닥시장,110111-0787080,214-81-72290,"서울특별시 서초구 서초대로 353 (서초동, 유니온타워)",www.koryoinfo.co.kr,,신용 조사 및 추심 대행업,1991-06-27,12월
고려에너지(주), ,고려에너지, ,전영계,기타법인,181211-0022421,610-81-16220,울산광역시 울주군 온산읍 대정리 505, ,,사업시설 유지ㆍ관리 서비스업,1992-11-17,12월
고려종합개발(주),"korea ceneral co.,ltd",고려종합개발, ,김성건,기타법인,180111-0098946,603-81-12454,"서울특별시 서초구 서초대로73길 40 709호(서초동, 강남오피스텔)", ,,건축물 일반 청소업,1990-05-10,12월
고려휴먼스(주),Koryo Humans CO.LTD,고려휴먼스, ,강선남,기타법인,110111-0886907,211-81-85933,"서울특별시 영등포구 시흥대로 613 (대림동, 고려휴먼스빌딩)",www.koryohumans.co.kr,,콜센터 및 텔레마케팅 서비스업,1992-12-01,12월
고려휴먼스디에스 주식회사,Koryo Humans DS,고려휴먼스디에스, ,윤수연,기타법인,110111-7476181,365-87-01703,"서울특별시 서초구 서초대로 353 (서초동, 서초동업무시설) 12층",ds.koryohumans.co.kr,,상용 인력 공급 및 인사관리 서비스업,2020-05-04,12월
주식회사 고암,GOAM,고암, ,이용진,기타법인,110111-0325351,105-81-37363,"서울특별시 영등포구 당산로47길 19 (당산동6가, 고암빌딩)",goam.co.kr,,사업시설 유지ㆍ관리 서비스업,1982-10-01,06월
골드만삭스자산운용주식회사,"Goldman Sachs Asset Management Korea Co., Ltd",골드만삭스자산운용, ,임태섭 조규상,기타법인,110111-1911951,104-81-52018,서울특별시 종로구 신문로1가 흥국생명빌딩 19층,www.goldman-sachs.co.kr,,그 외 기타 분류 안된 사업지원 서비스업,2000-03-18,03월
주식회사 골드프리,GOLDFREE.COM,골드프리, ,김태우,기타법인,120111-0175902,121-81-28003,서울특별시 중구 서소문동 75-95 유원빌딩 6층,www.goldfree.com,,여행사업,1998-09-12,12월
주식회사골든에스앤씨,goldensnc,골든에스앤씨, ,김명희,기타법인,110111-4294312,212-81-89704,서울특별시 강동구 명일로 198 한림빌딩 3층, ,,경비 및 경호 서비스업,2010-03-15,12월
(주)골든하베스트,goldenharvest,골든하베스트, ,오선혜,기타법인,131111-0399517,144-81-35467,경기도 성남시 분당구 성남대로343번길 12-2 B 313호(정자동), ,,기타 산업용 기계 및 장비 임대업,2015-02-09,12월
주식회사 골프몬,GOLFMON,골프몬, ,"조태석, 양승용",기타법인,110111-6910809,531-87-01163,서울특별시 양천구 목동서로 201 (목동) KT전산센타 23층, ,,여행사업,2018-10-30,12월
(주)골프존네트웍스,"GOLFZON NETWORKS CO.,LTD",골프존네트웍스, ,신종성,기타법인,160111-0263056,314-86-07605,"대전광역시 유성구 테크노11로 13 (탑립동, (주)골프존)",www.golfzonnet.com,,인력 공급업,2009-07-27,12월
공영기업(주),Gongyoung Corp.,공영기업, ,이흥주,기타법인,160111-0017502,306-81-08291,"대전광역시 대덕구 벚꽃길 71 (평촌동, KT&amp;amp;G) 공영기업(주) 본사", ,,인력 공급업,1989-04-01,12월
공우이엔씨 주식회사,KONGWOO ENC Corporation,공우이엔씨, ,김주훈,기타법인,110111-4810259,120-87-79739,"서울특별시 영등포구 여의대방로43라길 6 (신길동, 신길프라자)", ,,사업시설 유지ㆍ관리 서비스업,2012-03-01,12월
공주메디컬센터(주),KONGJUMED,공주메디컬센터, ,윤길호,기타법인,160111-0372302,314-86-59520,대전광역시 서구 문정로48번길 48 (탄방동) 14층, ,,사업시설 관리 및 조경 서비스업,2014-05-13,12월
공주환경(주),"GONGJU ENVIRONMENT CO., LTD",공주환경, ,김원,기타법인,161211-0011288,307-81-19108,충청남도 공주시 유구읍 만천길 118, ,,사업시설 관리 및 조경 서비스업,2002-08-06,12월
(주)관령몬스터글로벌,Gwan Ryeong Monster Global Inc,관령몬스터글로벌, ,김일,기타법인,110111-8288858,878-87-02396,"서울특별시 마포구 백범로 205 (신공덕동, 펜트라우스) 105동 104호", ,,여행사업,2022-05-04,12월
주식회사관령인터내셔날,GUANLING INTERNATIONAL CO.LTD,관령인터내셔날, ,최영욱,기타법인,110111-6966125,277-86-01258,"서울특별시 마포구 마포대로 109 (공덕동, 롯데캐슬프레지던트) 101동 1804호", ,,여행사업,2019-02-28,03월
(주)관선기공,"KWANSUN MACHINERY & CONST. CO., LTD.",관선기공, ,이달권,기타법인,110111-1592173,229-81-33950,서울특별시 서초구 양재동 283-3 신영빌딩, ,,산업용 기계 및 장비 임대업,1998-10-01,12월
(주)관우개발,"KWANWOO.CO.,LTD",관우개발, ,권혁남,기타법인,110111-0860505,120-81-49723,"서울특별시 강남구 강남대로58길 35 (도곡동, 수경빌딩)3층", ,,사업시설 유지ㆍ관리 서비스업,1992-06-01,12월
관촌실업(주),kwanchon service inc.,관촌실업, ,이광홍,기타법인,110111-0779582,211-81-71050,"서울특별시 강남구 개포로 644 (일원동, 청정빌딩) 3층",www.kcs4u.co.kr,,상용 인력 공급 및 인사관리 서비스업,1991-08-12,12월
주식회사 광개토환경,Gwanggaeto corp.,광개토환경, ,김종호,기타법인,110111-5420370,204-86-50426,서울특별시 양천구 오목로 177 (신정동) 603호,서울시 양천구 오목로177 영인빌딩 603호,,사업시설 유지ㆍ관리 서비스업,2014-06-01,12월
주식회사 광덕안정,GDAJ MSO,광덕안정, ,주홍원,기타법인,110111-7075008,591-87-01296,"서울특별시 서초구 강남대로 309 (서초동, 코리아비지니스센타), 408호, 지층2",gdajconsulting.com/,,그 외 기타 분류 안된 사업지원 서비스업,2019-04-01,12월
광림산업(주),kwang lim inc,광림산업, ,김영석,기타법인,134711-0003858,125-81-06146,경기도 평택시 합정동 373-13,-,,인력 공급업,1989-10-01,12월
(주)광명이엔지,kwangmyungENG,광명이엔지, ,박영규,기타법인,130111-0047795,124-81-56997,"경기도 수원시 영통구 덕영대로1556번길 16 (영통동, 디지털엠파이어빌딩) A동 708호", ,,사업시설 유지ㆍ관리 서비스업,1998-07-01,12월
주식회사 광명티엠씨,kmtmc.co.ltd,광명티엠씨, ,강언주,기타법인,170111-0579089,534-87-00241,대구광역시 달서구 성서로 375 (이곡동) 4층,광명티엠씨,,건축물 일반 청소업,2015-09-15,12월
주식회사 광성개발,"GOANGSUNG DEVELOPMENT CO., LTD. ",광성개발, ,유태섭,기타법인,200111-0356464,410-86-68593,광주광역시 광산구 사암로 209 (우산동),www.wm.co.kr,,기타 사무지원 서비스업,2012-12-12,12월
광은비지니스(주),KEbusiness,광은비지니스, ,선상열,기타법인,200111-0040950,408-81-17816,"광주광역시 동구 제봉로 225 (대인동, 광주은행본점빌딩)12층",www.yescom.kr/,,보안시스템 서비스업,1993-09-15,12월
주식회사 광주매일,The Kwangju Mail,광주매일, ,고경주,기타법인,200111-0025390,410-81-68512,광주광역시 서구 화정동 134-8,www.todaykwangju.co.kr,,기타 산업용 기계 및 장비 임대업,1991-01-29,12월
광주우정학사 주식회사,gwang ju woo jeong hak sa ju sik hoe sa,광주우정학사, ,정양기,기타법인,200111-0252943,408-81-76402,광주광역시 동구 서석로 42 안산빌딩 6층 (광산동), ,,임대업; 부동산 제외,2007-12-01,12월
교동국제해운주식회사,"JIAODONG INTERNATIONAL SHIPPING CO., LTD.",교동국제해운, ,장진무,기타법인,131311-0116719,125-86-03896,"경기도 평택시 포승읍 평택항만길 75 (만호리, 평택항국제여객터미널)",www.pjferry.com,,기타 운송장비 임대업,2012-05-15,12월
(주)교원나라여행사,KNTOUR,교원나라여행사, ,강경식,기타법인,110111-3645904,101-86-30780,서울특별시 중구 다동 88 동아빌딩 11층, ,,여행사 및 기타 여행보조 서비스업,2007-03-26,12월
교육나눔터 주식회사,"Kyo Yuk Na Num To Co.,Ltd.",교육나눔터, ,김성호,기타법인,170111-0324442,502-81-89058,"대구광역시 동구 동대구로 489 16층 (신천동, 대구무역회관)", ,,사업시설 유지ㆍ관리 서비스업,2007-01-18,12월
구산실업주식회사,"Kusan Industrial Co., Ltd.",구산실업, ,김명환,기타법인,110111-0224024,203-81-15019,서울특별시 중구 필동1가 10-9,없음,,그 외 기타 분류 안된 사업지원 서비스업,1978-01-16,12월
(주)구일일무인경비시스템,911security,구일일무인경비시스템, ,박종철,기타법인,110111-2797699,210-81-49521,"서울특별시 노원구 동일로 1056 (공릉동, 911빌딩)",911security.co.kr,,보안시스템 서비스업,2003-06-30,12월
국민신용정보(주),KOOK MIN CREDIT INFORMATION INC.,국민신용정보, ,장진복,기타법인,110111-0824147,101-81-24323,서울특별시 영등포구 여의도동 대하빌딩 1105호,www.kmcredit.co.kr,,신용 조사 및 추심 대행업,1991-12-23,12월
