회사이름,영문명,공시회사명,종목코드,대표자명,법인구분,법인등록번호,사업자등록번호,주소,홈페이지,IR홈페이지,업종명,설립일,결산월
AP우주통신(주),"Asia Pacific Space Telecom Co., Ltd",AP우주통신,015670,조병문,기타법인,165011-0000413,311-81-01043,충청남도 당진군 합덕읍 운산리 20-11,http://www.cosat.co.kr,,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1981-11-24,12월
에이피위성(주),Asia Pacific Satellite lnc.,AP위성,211270,이성희,코스닥시장,110111-4531045,119-86-38269,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,www.apsi.co.kr,,통신 및 방송 장비 제조업,2011-02-10,12월
"ASAHI GLASS CO., LTD",AGC Inc.,"ASAHIGLASSCO.,LTD", ,"Kazuhiko Ishimura, Takuya Shimamura",기타법인, ,9703,"서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)", ,,유리 및 유리제품 제조업,1950-06-01,01월
(주)ATS엔지니어링,"ATS Engineering .co., Ltd",ATS엔지니어링, ,김경수,기타법인,135111-0069801,123-81-98276,경기도 성남시 중원구 상대원동 442-13 중일아인스프라츠3차 3층,www.atseng.com,,"탭, 밸브 및 유사장치 제조업",2004-05-21,12월
(주)BDC,BDC.KR.OR,BDC, ,송운용,기타법인,160111-0105117,305-81-40681,대전광역시 유성구 진잠옛로 291-26 (복용동),bdcc.co.kr,,강관 제조업,2000-11-01,12월
(주)비지에프에코머티리얼즈,"BGFecomaterials CO., LTD.",BGF에코머티리얼즈,126600,홍정혁,코스닥시장,135011-0079381,133-81-34551,경기도 화성시  장안면 상두원길 142,www.bgfecomaterials.com,,합성수지 및 기타 플라스틱 물질 제조업,1997-10-13,12월
주식회사 BGR메탈,"BGR METAL Co.,Ltd.",BGR메탈, ,김대수,기타법인,195511-0112212,615-81-66405,경상남도 김해시 한림면 한림로 17 (명동리), ,,비금속 광물제품 제조업,2008-11-10,12월
Boston Scientific Group Public Limited Company,Boston Scientific Group Public Limited Company,BostonScientificGroupPublicLimitedCompany, ,"Cindy Maria Mols-Duisings, Carla Madrid Magalha",기타법인, ,213208,"Vestastraat 6, 6468 EX Kerkrade, The Netherlands", ,,전기식 진단 및 요법 기기 제조업,1994-02-16,12월
주식회사 BSM범일,"BSM Bumil Co., Ltd.",BSM범일, ,조기옥,기타법인,284911-0213816,518-88-01401,경기도 파주시 파주읍 학당말길 148 (파주리),bsm.co.kr,,금속가공제품 제조업; 기계 및 가구 제외,2019-10-01,12월
(주)BYC,"BYC CO.,LTD",BYC,001460,김대환,유가증권시장,110111-0005995,118-81-03063,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,home.byc.co.kr,,속옷 및 잠옷 제조업,1955-05-13,12월
Bystronic Laser AG,Bystronic Laser AG,BystronicLaserAG, ,Ferdi Tngi,기타법인, ,3474,서울특별시 종로구 수송동 이마빌딩 12층, ,,전자 응용 절삭기계 제조업,1981-11-04,01월
C.H산업(주),"C.H INDUSTRY CO.,LTD.",C.H산업, ,박성규,기타법인,160111-0013401,306-81-06987,대전광역시 대덕구 읍내동 450-18,chgroup.co.kr,,"직물, 편조원단 및 의복류 염색 가공업",1987-05-07,12월
"Cal-Comp Electronic Co., Ltd","Cal-Comp Electronic Co., Ltd","Cal-CompElectronicCo.,Ltd", ,"CHIANG, HSIAO CHIN",기타법인, ,10684,경기도 성남시 분당구 야탑동 514-1 신도리코빌딩 6F, ,,사무용 기계 및 장비 제조업,1989-11-01,12월
CARLSBERG ASIA HOLDINGS PTE LTD,CARLSBERG ASIA HOLDINGS PTE LTD,CARLSBERGASIAHOLDINGSPTELTD, ,"Michael C, Iuul",기타법인, ,12902,501 Orchard Road Wheelock Place#08-02A/03 Singapore, ,,맥아 및 맥주 제조업,2001-05-26,12월
Chang Wah electromaterials Inc.,Chang Wah electromaterials Inc.,ChangWahelectromaterialsInc., ,Canon Huang,기타법인, ,25344,"6F,No16,East 7th Street Nan-Tze Export Processing Zone,Kaohsiung, Taiwan (R.O.C.)",www.cwei.com.tw,,액정 표시장치 제조업,1989-05-13,12월
"Chugoku Marine Paints, Ltd.","Chugoku Marine Paints, Ltd.","ChugokuMarinePaints,Ltd.", ,Mitsuhiko Fujiwara,기타법인, ,011657,"1-7, Meijishinkai, Otake-shi, Hiroshima, 739-0652 Japan",www.cmp.co.jp,,일반용 도료 및 관련제품 제조업,1923-05-25,03월
CJ씨푸드(주),CJ SEAFOOD CORPORATION,CJ씨푸드,011150,임항순,유가증권시장,110111-0215578,229-81-12289,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),www.cjseafood.net,,기타 식품 제조업,1976-03-15,12월
CJ제일제당(주),CJ CHEILJEDANG CORP.,CJ제일제당,097950,"손경식, 강신호(각자 대표이사)",유가증권시장,110111-3748253,104-86-09535,서울특별시 중구  동호로 330,www.cj.co.kr,,기타 식품 제조업,2007-09-04,12월
주식회사 CK이엠솔루션,"CK EM Solution co,.LTD.",CK이엠솔루션, ,양광용,기타법인,154511-0099063,236-81-02585,충청북도 음성군 대소면 대풍산단로 58 (대풍리),www.ckemsolution.com/,,접착제 및 젤라틴 제조업,2021-09-24,12월
Clariant Industries (Korea) Ltd.,Clariant Industries (Korea) Ltd.,ClariantIndustries(Korea)Ltd., ,호니그만,기타법인, ,120-81-02086,서울특별시 종로구 수송동 이마빌딩 12층, ,,석유화학계 기초 화학물질 제조업,1987-08-05,12월
(주)CMG제약,"CMG Pharmaceutical Co., Ltd.",CMG제약,058820,이주형,코스닥시장,135011-0115846,134-81-71976,서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동),www.cmgpharma.co.kr,cmgpharma.irpage.co.kr,의약품 제조업,2001-08-01,12월
"CNJ, Inc","CNJ, Inc","CNJ,Inc", ,KYUYONG CHUNG,기타법인, ,549300PZZY7HRTIDJB67,265 TEAGUE COURT. AL 36832 U.S.A, ,,그 외 자동차용 신품 부품 제조업,2007-11-14,12월
Cooper Standard Automotive Inc.,Cooper Standard Automotive Inc.,CooperStandardAutomotiveInc., ,"James S, McElya",기타법인, ,340549970,"39550 Orchard Hill Place Drive, Novi, Michigan 48375 U.S.A.",http://www.cooperstandard.com,,자동차 및 트레일러 제조업,1927-10-18,12월
Cooper Tire & Rubber Company,Cooper Tire & Rubber Company,CooperTire&RubberCompany, ,"Thomas A, Dattilo",기타법인, ,34-4297750,"701 Lima Avenue, Findlay, Ohio 45840 U.S.A.",www.coopertires.com,,고무 타이어 및 튜브 제조업,1930-03-26,12월
(주)씨에스,CS CORPORATION,CS,065770,최규훈,코스닥시장,110111-1644809,215-81-74874,경기도 성남시 분당구 판교로228번길 15 윈스동 8층(삼평동 판교세븐벤처밸리1),www.cs-holdings.co.kr,,방송 및 무선 통신장비 제조업,1999-02-03,12월
(주)씨에스에이코스믹,"CSA COSMIC CO., LTD.",CSA 코스믹,083660,"최재호, 박정훈 (각자대표)",코스닥시장,110111-0657499,206-81-47219,서울특별시 강남구 언주로 726 두산빌딩 14층,www.csacosmic.com,,기타 화학제품 제조업,1989-11-07,12월
CS CLEAN SYSTEMS AG,CS CLEAN SYSTEMS AG,CSCLEANSYSTEMSAG, ,Georg Lipperer,기타법인, ,51579,"Frauenhoferstr. 4, 85737 Ismaning", ,,석유화학계 기초 화학물질 제조업,1999-04-26,12월
CSM TECH (주),"CSM TECH CO.,LTD",CSMTECH, ,강문호,기타법인,180111-0328848,621-81-38734,부산광역시 기장군 장안읍 장안산단8로 118 (반룡리), ,,자동차 및 트레일러 제조업,2000-05-01,12월
(주)D.L섬유,DL TEXTILE,D.L섬유, ,김삼출,기타법인,131411-0167439,134-86-22499,경기도 안산시 단원구 별망로 693 (초지동), ,,"섬유제품 염색, 정리 및 마무리 가공업",2005-04-26,03월
"DAINIPPON SCREEN MFG. CO., Ltd.","DAINIPPON SCREEN MFG. CO., Ltd.","DAINIPPONSCREENMFG.CO.,Ltd.", ,AKIRA ISHIDA,기타법인, ,1015,경상북도 구미시 구포동 624, ,,기타 전자부품 제조업,1943-10-11,03월
주식회사 DAS,"DAS Co., Ltd.",DAS, ,정종범,기타법인,170111-0424086,503-81-92895,대구광역시 달서구 성서공단로 21 (호림동), ,,디스플레이 제조용 기계 제조업,2011-03-04,12월
주식회사 DB하이텍,"DB HiTek Co.,LTD",DB하이텍,000990,조기석,유가증권시장,110111-0026206,211-81-10771,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,,전자집적회로 제조업,1953-04-28,12월
(주)DCF TREK,"DCF TREK CO.,LTD",DCFTREK, ,"박권일, 박안식",기타법인,180111-0076174,606-81-59220,경상남도 김해시 생림면 나전로161번길 103, ,,자동차 차체 및 트레일러 제조업,1987-11-02,12월
(주)디지아이티엑스,"DG-ITX Co., Ltd.",DGI,099520,"박상열, 박근식 (각자 대표이사)",코스닥시장,110111-1517709,120-81-78820,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,www.itxai.com,,비디오 및 기타 영상기기 제조업,1998-02-27,12월
DH 바이탈피드 (주),"DH VitalFeed Co., Ltd.",DH바이탈피드, ,주원돈,기타법인,134511-0001690,135-81-02657,경기도 평택시 포승읍 평택항만길 416 DH 바이탈피드 (주), ,,동물용 사료 및 조제식품 제조업,1979-12-15,12월
(주)디에이치오토넥스,"DHAUTONEX CO.,LTD",DH오토넥스,000300,최준용,유가증권시장,110111-0085541,119-81-01490,전북특별자치도 김제시 용지면 용지로 55 김제(본사),www.dayouplus.co.kr,,자동차 신품 부품 제조업,1967-12-30,12월
(주)디에이치오토리드,"DH AUTOLEAD Co.,Ltd.",DH오토리드,290120,이석근,코스닥시장,210111-0118854,745-86-00413,전라북도 완주군 봉동읍 완주산단8로 66,www.dhautolead.co.kr,,그 외 자동차용 신품 부품 제조업,2016-10-04,12월
(주)디에이치오토웨어,"DHAUTOWARE Co., LTD",DH오토웨어,025440,김진우,코스닥시장,110111-0254344,119-81-02446,"광주광역시 광산구 빛그린동로 190 1207 외 3필지 (1207, 1208, 1209, 1210)",dhautoware.co.kr,,영상 및 음향기기 제조업,1979-06-05,12월
(주)DH케미칼,"DH Chemicals Co., Ltd",DH케미칼, ,조정현,기타법인,194211-0000175,609-81-01921,"경상남도 창원시 성산구 성주로137번길 3 (남산동, 주식회사디에이치케미칼)", ,,그 외 기타 화학제품 제조업,1977-02-01,12월
DIC주식회사,DIC CORPORATION,DIC, ,"INO, Kaoru",기타법인, ,6363,일본국 도쿄도 이타바시구 사카시타 3초메 35번지 58호,www.dic.co.jp,,인쇄잉크 및 회화용 물감 제조업,1937-03-15,12월
디케이엠이(주),"DKME Co., Ltd.",DKME,015590,백승륜,유가증권시장,181211-0002275,610-81-02779,울산광역시 남구  처용로 260-37,www.kibplugenergy.com,,액체 여과기 제조업,1981-09-30,12월
DK유테크(주),"DK UTECH Co.,Ltd.",DK유테크, ,이범희,기타법인,115611-0020526,128-81-50898,경기도 파주시 광탄면 보광로 869-71 (마장리)javascript:updateConfirm();,www.dkutech.com,,기타 전자부품 제조업,2000-08-01,12월
디엘 주식회사,"DL Holdings CO.,LTD",DL,000210,김종현,유가증권시장,110111-0084915,116-81-35007,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",www.dlholdings.co.kr,,석유화학계 기초 화학물질 제조업,1939-10-10,12월
DL모터스(주),"DL Motors Co.,Ltd.",DL모터스, ,윤준원,기타법인,110111-0227359,203-81-36294,경상남도 창원시 성산구 공단로 602,www.dmc.co.kr,,자동차용 신품 동력전달장치 제조업,1978-03-14,12월
DL에프엔씨,DL FnC,DL에프엔씨, ,이재태,기타법인,210111-0152696,669-86-01817,"전라북도 완주군 봉동읍 과학로 802 (용암리, 디엘에프엔씨)",www.dlfnc.co.kr,,플라스틱 필름 제조업,2020-04-01,12월
DL케미칼 주식회사,DL Chemical,DL케미칼, ,김종현,기타법인,110111-7736858,898-86-01996,서울특별시 종로구 통일로 134,www.dlchemical.co.kr/main.do,,합성고무 및 플라스틱 물질 제조업,2021-01-04,12월
(주)디엠에스,"DMS Co.,Ltd.",DMS,068790,이석화,코스닥시장,134611-0012687,125-81-29149,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),www.dms21.co.kr,,특수 목적용 기계 제조업,1999-07-08,12월
(주)디엔오토모티브,DN AUTOMOTIVE CORPORATION,DN오토모티브,007340,김상헌 김인환,유가증권시장,184511-0000642,621-81-01580,경상남도 양산시 산막공단북11길 103 -,www.dnautomotive.com,,운송장비용 이차전지 제조업,1971-06-23,12월
(주)디알비동일,"DRB Holding Co.,Ltd",DRB동일,004840,류영식,유가증권시장,180111-0000339,621-81-01635,부산광역시 금정구 공단동로55번길 28,www.drbworld.com,,고무제품 제조업,1945-09-30,12월
DSR(주),DSR CORP,DSR,155660,홍석빈,유가증권시장,180111-0000777,617-81-00224,부산광역시 강서구 녹산산업중로192번길 7,www.dsr.com,,1차 비철금속 제조업,1965-04-01,12월
DSR제강(주),DSR WIRE CORP,DSR제강,069730,"홍하종, 홍석빈 (각자 대표이사)",유가증권시장,180111-0004753,617-81-02687,전라남도 순천시  서면 산단1길 15,www.dsrcorp.com,,철강선 제조업,1971-09-01,12월
주식회사 디에스단석,"DS DANSUK CO., LTD.",DS단석,017860,한승욱,유가증권시장,134111-0010839,133-81-22642,경기도 시흥시 협력로 165,dsdansuk.com,,기타 화학제품 제조업,1984-08-06,12월
주식회사DS산업,DS Industrial CO LTD,DS산업, ,방재석,기타법인,120111-0367757,131-81-90009,인천광역시 남동구 남동서로 257 (논현동), ,,자동차 및 트레일러 제조업,2005-03-02,12월
디와이피(주),"DYP CO.,LTD",DYP,092780,홍순겸,유가증권시장,124311-0003379,134-81-01198,경기도 안산시 단원구 해봉로255번길 16,www.dypiston.co.kr,,자동차용 엔진 및 자동차 제조업,1977-07-01,12월
(주)이지,"EG Co., Ltd",EG,037370,"박지만, 제영태 각자대표이사",코스닥시장,161511-0003619,305-81-08153,전라남도 광양시 명당3길 118 -,www.egcorp.co.kr,,기초 화학물질 제조업,1987-05-15,12월
(주)이엠비,"EMB CO.,LTD.",EMB,278990,홍성천,코넥스시장,134111-0364153,123-86-39097,경기도 안양시 만안구 전파로 24번길 934층,www.fineemtech.co.kr,,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",2013-07-04,12월
EMCORE CORPORATION,EMCORE CORPORATION,EMCORECORPORATION, ,"Reuben F, Richards, Jr",기타법인, ,23841,"10420 Research Road, SE, Albuquerque, New Mexico, U.S.A. 87123", ,,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",1986-09-25,12월
(주)ENS,ENS co Ltd,ENS, ,정지명,기타법인,115911-0023706,128-81-41370,경기도 고양시 일산동구 성현로93번길 101 1층(성석동),www.pro-worldcup.co.kr,,기타 봉제의복 제조업,1999-08-01,12월
EPS KOREA(주),"EPS KOREA Co.,Ltd",EPSKOREA, ,조철래,기타법인,130111-0008135,134-81-02673,경기도 평택시 포승읍 평택항로 294 EPS KOREA(주),www.eps-korea.com,,폴리스티렌 발포 성형제품 제조업,1977-02-04,12월
주식회사 에프앤에프,"F&F CO.,Ltd",F&F,383220,김창수,유가증권시장,110111-7875440,153-81-02451,서울특별시 강남구 테헤란로8길 8 -,www.fnf.co.kr,,남자용 겉옷 제조업,2021-05-03,12월
FnC코오롱(주),FnC KOLON CORP,FnC코오롱,001370,제환석,기타법인,110111-0003973,202-81-44656,서울특별시 중구 무교동 코오롱빌딩 14층,www.fnckolon.com,,기타 봉제의복 제조업,1954-12-17,12월
(주)G.M.T신기술,Golbal Motors Technolocy K.T.C,G.M.T신기술, ,구동춘,기타법인,110111-1915086,206-81-23385,서울특별시 광진구 광장동341-1,www.gmtmtc.com,,자동차 및 트레일러 제조업,2000-03-22,03월
(주)G.M식품,"G.M FOOD Co., LTD",G.M식품, ,조용철,기타법인,170111-0205014,504-81-41711,대구광역시 북구 노원로47길 20 (침산동), ,,가금류 가공 및 저장 처리업,2001-09-15,12월
(주)G2K,"genesis biotechnology co.,ltd",G2K, ,유웅열,기타법인,110111-1827786,220-81-72280,서울특별시 영등포구 여의도동 14-27 대산빌딩 1002호,www.g2k.co.kr,,석제품 제조업,1999-12-14,09월
(주) GB STYLE,"GB STYLE Co.,Ltd.",GBSTYLE, ,박용주,기타법인,110111-0771140,204-81-20382,"서울특별시 강남구 선릉로161길 17 (신사동), 3층",www.gbstyle.co.kr,,속옷 및 잠옷 제조업,1991-04-30,12월
지에이치신소재(주),GH Advanced Materials Inc.,GH신소재,130500,우희구,코스닥시장,195511-0052004,615-81-22009,경상북도 구미시  1공단로4길 141-54,www.ghglobal.co.kr,,부직포 및 펠트 제조업,2001-12-07,12월
(주)GIMCO,"GIMCO Co.,Ltd.",GIMCO, ,김종택,기타법인,110111-2245862,106-81-99741,"서울특별시 구로구 디지털로 272 (구로동, 한신IT타워) 816호",www.gimco.co.kr,,일반 목적용 기계 제조업,2001-05-24,12월
GIVAUDAN SA,GIVAUDAN SA,GIVAUDANSA, ,Gilles Andrier,기타법인, ,050571,"chemin de la Parfumerie 5, 1214 Vernier, Switzerland", ,,표면광택제 및 실내가향제 제조업,1929-08-05,12월
(주)GMT,GLOVAL MACHINE TECHNOLOGY,GMT, ,김현철,기타법인,175211-0021976,513-81-40114,경상북도 칠곡군 왜관읍 낙산리 302-1,www.komaatec.co.kr,,금속 절삭기계 제조업,2006-02-23,12월
GM세이브, ,GM세이브, ,김봉갑,기타법인,150111-0063680,301-81-60045,충청북도 청주시 상당구 율량동 877, ,,그 외 기타 가구 제조업,2004-04-01,12월
GPS 주식회사,GPS Corportation,GPS, ,이택용,기타법인,120111-0002725,131-81-04653,서울특별시 영등포구 여의도동 25-4 신송빌딩 2층,www.gps21.co.kr,,그 외 기타 전자부품 제조업,1979-04-30,12월
(주)글로벌스탠다드테크놀로지,"GlobalStandardTechnologyCo.,Ltd.",GST,083450,"석종욱, 문승보(각자대표)",코스닥시장,131311-0038864,125-81-39609,경기도 화성시 동탄면 동탄산단6길 15-13,www.gst-in.com,,반도체 제조용 기계 제조업,2001-10-12,12월
GS Yuasa International Ltd,GS Yuasa International Ltd,GSYuasaInternationalLtd, ,요다 마코토,기타법인, ,130-00-1028411,서울특별시 강남구 역삼동 미나토구,gbttery.com,,운송장비용 이차전지 제조업,2004-06-01,12월
GS칼텍스(주),GS Caltex Corporation,GS칼텍스, ,허세홍,기타법인,110111-0078819,116-81-19123,"서울특별시 강남구 논현로 508 (역삼동, GS강남타워)",www.gscaltex.co.kr,,원유 정제처리업,1967-05-19,12월
GU주식회사,"GOLDEN UNIVERSAL CO.,LTD.",GU, ,이종래,기타법인,110111-1131913,229-81-24790,경기도 화성시 봉담읍 동화리 238-91 이정빌딩3층,www.gu-tech.co.kr,,액체 여과기 제조업,1995-02-23,12월
"GUARDANT HEALTH, INC.","GUARDANT HEALTH, INC.","GUARDANTHEALTH,INC.", ,Helmy Eltoukhy,기타법인, ,51683,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 6층", ,,그 외 기타 의료용 기기 제조업,2011-12-09,12월
GUOPIN INVESTMENT(AUST)PTY LTD,GUOPIN INVESTMENT(AUST)PTY LTD,GUOPININVESTMENT(AUST)PTYLTD, ,"CAO, JIAN",기타법인, ,42624,"54,Arinya Street,KINGSGROVE NSW 2208,AUSTRALIA", ,,동력식 수지공구 제조업,2015-09-11,12월
(주)H.M.T,H.M.T,H.M.T, ,이상택,기타법인,161511-0067243,312-81-71386,충청남도 천안시 서북구 입장면 위례성로 1920 (기로리) (주)에이치.엠.티, ,,자동차 및 트레일러 제조업,2004-10-01,12월
HANIL JAYA METAL WORKS,HANIL JAYA METAL WORKS,HANILJAYAMETALWORKS, ,이정일,기타법인, ,131-71-300079,"Desa Janti waru sidoarjo EAST JAVA, INDONESIA", ,,"제철, 제강 및 합금철 제조업",1973-11-10,12월
에이치비솔루션(주),"HB SOLUTION CO.,LTD.",HB솔루션,297890,이재원,코스닥시장,131111-0065514,129-81-44690,충청남도 아산시 음봉면 연암율금로 77-26,www.hb-solution.co.kr,,디스플레이 제조용 기계 제조업,2001-09-06,12월
(주)에이치비테크놀러지,"HB Technology CO.,LTD.",HB테크놀러지,078150,문성준,코스닥시장,131111-0030335,129-81-23356,충청남도 아산시 음봉면 산동로 87,www.ncbnet.co.kr,,디스플레이 제조용 기계 제조업,1997-09-02,12월
(주)에이치씨보광산업,"HC BoKwang Industry Co.,Ltd",HC보광산업,225530,김윤수,코스닥시장,174311-0003882,508-81-16437,대구광역시 북구 유통단지로3길 40 &nbsp,www.bokwangindustry.co.kr,,기타 비금속 광물제품 제조업,2004-08-27,12월
에이치디씨현대이피(주),"HDC Hyundai Engineering Plastics Co., Ltd. ",HDC현대EP,089470,정원섭,유가증권시장,165011-0006768,311-81-13651,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사,www.hdc-hyundaiep.com/,,기타 화학제품 제조업,2000-01-15,12월
에이치디건설기계(주),"HD Construction Equipment Co.,Ltd.",HD건설기계,267270,최철곤,유가증권시장,110111-6363868,528-88-00622,"경기도 성남시 분당구 분당수서로 477 11층(정자동, HD현대그룹 글로벌 R&D센터)",www.hd-hyundaice.com,,일반 목적용 기계 제조업,2017-04-03,12월
에이치디현대마린엔진(주),"HD-Hyundai Marine Engine Co., Ltd.",HD현대마린엔진,071970,강영,유가증권시장,194211-0048381,609-81-48213,경상남도 창원시 성산구 적현로 222 STX중공업,www.hd-marineengine.com,,기타 기관 및 터빈 제조업,2001-06-15,12월
에이치디현대에너지솔루션(주),"HD HYUNDAI ENERGY SOLUTIONS CO.,LTD.",HD현대에너지솔루션,322000,박종환,유가증권시장,110111-6265410,118-81-22037,"경기도 성남시 분당구 분당수서로 477 9층(정자동, HD현대그룹 글로벌 R&D센터)",www.hd-hyundaies.co.kr,,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",2016-12-21,12월
에이치디현대일렉트릭(주),"HD HYUNDAI ELECTRIC CO.,LTD",HD현대일렉트릭,267260,김영기,유가증권시장,110111-6363850,266-86-00531,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터,www.hd-hyundaielectric.com,,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",2017-04-03,12월
에이치디현대중공업(주),"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",HD현대중공업,329180,"이상균, 노진율 (각자 대표이사)",유가증권시장,230111-0312741,252-87-01412,울산광역시 동구 방어진순환도로 1000,www.hhi.co.kr,,기타 선박 건조업,2019-06-03,12월
